"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0001540","amyloid-beta binding",57,2,0.05,1,0.0011,0.0011,0.0350877192982456,"Cst3, Apoe"
"2","MF","GO:0016209","antioxidant activity",74,2,0.06,2,0.0019,0.0019,0.027027027027027,"Apoe, Hbb-bs"
"3","MF","GO:0008047","enzyme activator activity",436,3,0.38,3,0.0059,0.0059,0.00688073394495413,"Thy1, Apoe, Nrg1"
"4","MF","GO:0015291","secondary active transmembrane transport...",226,2,0.2,6,0.0162,0.0162,0.00884955752212389,"Slc4a3, Slc16a11"
"5","MF","GO:0034593","phosphatidylinositol bisphosphate phosph...",20,1,0.02,7,0.0173,0.0173,0.05,"Inpp4b"
"6","MF","GO:0048156","tau protein binding",21,1,0.02,8,0.0182,0.0182,0.0476190476190476,"Apoe"
"7","MF","GO:0050750","low-density lipoprotein particle recepto...",24,1,0.02,9,0.0207,0.0207,0.0416666666666667,"Apoe"
"8","MF","GO:0052866","phosphatidylinositol phosphate phosphata...",24,1,0.02,10,0.0207,0.0207,0.0416666666666667,"Inpp4b"
"9","MF","GO:0008289","lipid binding",696,3,0.61,11,0.0211,0.0211,0.00431034482758621,"Thy1, Apoe, Inpp4b"
"10","MF","GO:0120013","intermembrane lipid transfer activity",26,1,0.02,12,0.0225,0.0225,0.0384615384615385,"Apoe"
"11","MF","GO:0019901","protein kinase binding",715,3,0.62,13,0.0226,0.0226,0.0041958041958042,"Thy1, Srsf2, Nrg1"
"12","MF","GO:0071813","lipoprotein particle binding",27,1,0.02,15,0.0233,0.0233,0.037037037037037,"Apoe"
"13","MF","GO:0071814","protein-lipid complex binding",27,1,0.02,16,0.0233,0.0233,0.037037037037037,"Apoe"
"14","MF","GO:0015301","anion:anion antiporter activity",27,1,0.02,17,0.0233,0.0233,0.037037037037037,"Slc4a3"
"15","MF","GO:0070325","lipoprotein particle receptor binding",28,1,0.02,18,0.0242,0.0242,0.0357142857142857,"Apoe"
"16","MF","GO:0045499","chemorepellent activity",28,1,0.02,19,0.0242,0.0242,0.0357142857142857,"Nrg1"
"17","MF","GO:0015248","sterol transporter activity",29,1,0.03,20,0.025,0.025,0.0344827586206897,"Apoe"
"18","MF","GO:0036002","pre-mRNA binding",31,1,0.03,21,0.0267,0.0267,0.032258064516129,"Srsf2"
"19","MF","GO:0008509","anion transmembrane transporter activity",302,2,0.26,22,0.0279,0.0279,0.00662251655629139,"Slc4a3, Slc16a11"
"20","MF","GO:0019900","kinase binding",791,3,0.69,23,0.0294,0.0294,0.00379266750948167,"Thy1, Srsf2, Nrg1"
"21","MF","GO:0043394","proteoglycan binding",35,1,0.03,24,0.0301,0.0301,0.0285714285714286,"Apoe"
"22","MF","GO:0005102","signaling receptor binding",1472,4,1.28,26,0.0345,0.0345,0.00271739130434783,"Thy1, Il12b, Apoe, Nrg1"
"23","MF","GO:0022804","active transmembrane transporter activit...",343,2,0.3,27,0.0352,0.0352,0.00583090379008746,"Slc4a3, Slc16a11"
"24","MF","GO:0015485","cholesterol binding",43,1,0.04,28,0.0369,0.0369,0.0232558139534884,"Apoe"
"25","MF","GO:0019899","enzyme binding",2238,5,1.95,29,0.0371,0.0371,0.00223413762287757,"Thy1, Cst3, Srsf2, Nrg1, Slc4a3"
