MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2685419	Ajap1	adherens junction associated protein 1	4		beta-catenin binding			IBA	PTN002845435 	J:265628 	
MGI:2685419	Ajap1	adherens junction associated protein 1	4		beta-catenin binding			ISO	Q9UKB5 	J:164563 	
MGI:1919595	Amer1	APC membrane recruitment 1	X		beta-catenin binding			IBA	PTN001095668 	J:265628 	
MGI:1919595	Amer1	APC membrane recruitment 1	X		beta-catenin binding			ISO	Q5JTC6 	J:164563 	
MGI:1919375	Amer2	APC membrane recruitment 2	14		beta-catenin binding			IBA	PTN001095668 	J:265628 	
MGI:3026939	Amer3	APC membrane recruitment 3	1		beta-catenin binding			IBA	PTN001095668 	J:265628 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		beta-catenin binding			IBA	PTN000288612 	J:265628 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		beta-catenin binding			IDA		J:55416 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		beta-catenin binding			IPI	PR:Q02248 	J:85837 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		beta-catenin binding			ISO	P25054 	J:164563 	
MGI:1346052	Apc2	APC regulator of WNT signaling pathway 2	10		beta-catenin binding			IBA	PTN000288612 	J:265628 	
MGI:1346052	Apc2	APC regulator of WNT signaling pathway 2	10		beta-catenin binding			ISO	O95996 	J:73065 	
MGI:88064	Ar	androgen receptor	X		beta-catenin binding			ISO	P10275 	J:164563 	
MGI:1344416	Ash2l	ASH2 like histone lysine methyltransferase complex subunit	8		beta-catenin binding			ISO	Q9UBL3 	J:164563 	
MGI:1096327	Axin1	axin 1	17		beta-catenin binding		PR:O35625-1	IMP		J:162068 	
MGI:1096327	Axin1	axin 1	17		beta-catenin binding			IPI	PR:Q02248 	J:141207 J:54993 	
MGI:1096327	Axin1	axin 1	17		beta-catenin binding			IPI	P35222 	J:55044 	
MGI:1096327	Axin1	axin 1	17		beta-catenin binding			ISO	O15169 	J:164563 	
MGI:1270862	Axin2	axin 2	11		beta-catenin binding			ISO	RGD:69259 	J:155856 	
MGI:1924828	Bcl9	B cell CLL/lymphoma 9	3		beta-catenin binding			IBA	PTN001807872 	J:265628 	
MGI:1924828	Bcl9	B cell CLL/lymphoma 9	3		beta-catenin binding			IPI	PR:Q02248 	J:94453 	
MGI:1933114	Bcl9l	B cell CLL/lymphoma 9-like	9		beta-catenin binding			IBA	PTN001807872 	J:265628 	
