MGI Gene/Marker ID Symbol
MGI:1351646 Abca7 ATP-binding cassette,
MGI:87859 Abl1 c-abl oncogene
MGI:87860 Abl2 v-abl Abelson
MGI:109562 Ackr3 atypical chemokine
MGI:109562 Ackr3 atypical chemokine
MGI:109562 Ackr3 atypical chemokine
MGI:87909 Acta2 actin alpha
MGI:1096335 Adam17 a disintegrin
MGI:105094 Adcyap1 adenylate cyclase
MGI:105094 Adcyap1 adenylate cyclase
MGI:105094 Adcyap1 adenylate cyclase
MGI:104773 Adra1a adrenergic receptor,
MGI:893592 Ager advanced glycosylation
MGI:1932576 Akap12 A kinase
MGI:3645495 Alkal1 ALK and
MGI:3645495 Alkal1 ALK and
MGI:3697448 Alkal2 ALK and
MGI:3697448 Alkal2 ALK and
MGI:87997 Alox15 arachidonate 15-lipoxygenase
MGI:108448 Angpt1 angiopoietin 1
MGI:88057 Apoe apolipoprotein E
MGI:88059 App amyloid beta
MGI:88059 App amyloid beta
MGI:1920417 Arhgap8 Rho GTPase
MGI:99473 Arrb1 arrestin, beta
MGI:99473 Arrb1 arrestin, beta
MGI:99473 Arrb1 arrestin, beta
MGI:99473 Arrb1 arrestin, beta
MGI:99474 Arrb2 arrestin, beta
MGI:99474 Arrb2 arrestin, beta
MGI:99474 Arrb2 arrestin, beta
MGI:109629 Atp6ap1 ATPase, H+
MGI:88116 Atp6v0c ATPase, H+
MGI:88177 Bmp2 bone morphogenetic
MGI:88180 Bmp4 bone morphogenetic
MGI:1920480 Bmper BMP-binding endothelial
MGI:88190 Braf Braf transforming
MGI:88190 Braf Braf transforming
MGI:88190 Braf Braf transforming
MGI:88190 Braf Braf transforming
MGI:88190 Braf Braf transforming
MGI:88190 Braf Braf transforming
MGI:88190 Braf Braf transforming
MGI:88190 Braf Braf transforming
MGI:1932136 C1qtnf3 C1q and
MGI:88227 C3 complement component
MGI:2442013 C5ar2 complement component
MGI:101950 Calcr calcitonin receptor
MGI:1341265 Camk2d calcium/calmodulin-dependent protein
