MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1925810	Adgra2	adhesion G protein-coupled receptor A2	8		positive regulation of canonical Wnt signaling pathway			IBA	PTN002914520 	J:265628 	
MGI:1925810	Adgra2	adhesion G protein-coupled receptor A2	8		positive regulation of canonical Wnt signaling pathway			IDA		J:256044 	
MGI:1925810	Adgra2	adhesion G protein-coupled receptor A2	8		positive regulation of canonical Wnt signaling pathway			ISO	Q96PE1 	J:164563 	
MGI:1919595	Amer1	APC membrane recruitment 1	X		positive regulation of canonical Wnt signaling pathway			ISO	Q5JTC6 	J:164563 	
MGI:1096381	Arntl	aryl hydrocarbon receptor nuclear translocator-like	7		positive regulation of canonical Wnt signaling pathway			IMP		J:187450 J:206897 	
MGI:1334448	Aspm	abnormal spindle microtubule assembly	1		positive regulation of canonical Wnt signaling pathway			IGI	MGI:88276 	J:177130 	
MGI:1917745	Atp6ap2	ATPase, H+ transporting, lysosomal accessory protein 2	X		positive regulation of canonical Wnt signaling pathway			ISO	O75787 	J:164563 	
MGI:1915260	Bambi	BMP and activin membrane-bound inhibitor	18		positive regulation of canonical Wnt signaling pathway			ISO	Q13145 	J:164563 	
MGI:2448541	Caprin2	caprin family member 2	6		positive regulation of canonical Wnt signaling pathway			IBA	PTN002740828 	J:265628 	
MGI:2448541	Caprin2	caprin family member 2	6		positive regulation of canonical Wnt signaling pathway			ISO	Q6IMN6 	J:164563 	
MGI:102709	Cav1	caveolin 1, caveolae protein	6		positive regulation of canonical Wnt signaling pathway			ISO	Q03135 	J:164563 	
MGI:2444228	Ccar2	cell cycle activator and apoptosis regulator 2	14		positive regulation of canonical Wnt signaling pathway			ISO	Q8N163 	J:164563 	
MGI:88356	Cdh3	cadherin 3	8		positive regulation of canonical Wnt signaling pathway			ISO	P22223 	J:164563 	
MGI:88467	Col1a1	collagen, type I, alpha 1	11		positive regulation of canonical Wnt signaling pathway			ISO	P02452 	J:164563 	
MGI:1355272	Csnk1d	casein kinase 1, delta	11		positive regulation of canonical Wnt signaling pathway			IBA	PTN002629128 	J:265628 	
MGI:1355272	Csnk1d	casein kinase 1, delta	11		positive regulation of canonical Wnt signaling pathway			ISO	P48730 	J:164563 	
MGI:1351660	Csnk1e	casein kinase 1, epsilon	15		positive regulation of canonical Wnt signaling pathway			IBA	PTN000936173 	J:265628 	
MGI:1351660	Csnk1e	casein kinase 1, epsilon	15		positive regulation of canonical Wnt signaling pathway			IGI	MGI:106613 	J:124214 	
MGI:1351660	Csnk1e	casein kinase 1, epsilon	15		positive regulation of canonical Wnt signaling pathway			IGI	MGI:94941 	J:88177 	
MGI:2660884	Csnk1g1	casein kinase 1, gamma 1	9		positive regulation of canonical Wnt signaling pathway			IBA	PTN000936142 	J:265628 	
MGI:1920014	Csnk1g2	casein kinase 1, gamma 2	10		positive regulation of canonical Wnt signaling pathway			IBA	PTN000936142 	J:265628 	
MGI:1917675	Csnk1g3	casein kinase 1, gamma 3	18		positive regulation of canonical Wnt signaling pathway			IBA	PTN000936142 	J:265628 	
MGI:1914431	Ctdnep1	CTD nuclear envelope phosphatase 1	11		positive regulation of canonical Wnt signaling pathway	regulates a function/process that happens in yolk sac mesoderm		IMP	MGI:5510826 	J:199855 	
MGI:91842	D1Pas1	DNA segment, Chr 1, Pasteur Institute 1	1		positive regulation of canonical Wnt signaling pathway			ISO	O00571 	J:164563 	
MGI:1923691	Daam2	dishevelled associated activator of morphogenesis 2	17		positive regulation of canonical Wnt signaling pathway			IBA	PTN002906240 	J:265628 	
MGI:1923691	Daam2	dishevelled associated activator of morphogenesis 2	17		positive regulation of canonical Wnt signaling pathway			IDA		J:255326 	
MGI:1891740	Dact1	dishevelled-binding antagonist of beta-catenin 1	12		positive regulation of canonical Wnt signaling pathway			ISO	Q9NYF0 	J:164563 	
MGI:1203520	Dapk3	death-associated protein kinase 3	10		positive regulation of canonical Wnt signaling pathway			ISO	O43293 	J:164563 	
MGI:103064	Ddx3x	DEAD box helicase 3, X-linked	X		positive regulation of canonical Wnt signaling pathway			ISO	O00571 	J:164563 	
MGI:2447658	Disc1	disrupted in schizophrenia 1	8		positive regulation of canonical Wnt signaling pathway	happens in brain	PR:000035654	IMP		J:171976 	
MGI:1890663	Dkk2	dickkopf WNT signaling pathway inhibitor 2	3		positive regulation of canonical Wnt signaling pathway			ISO	Q9UBU2 	J:164563 	
MGI:101926	Dlx5	distal-less homeobox 5	6		positive regulation of canonical Wnt signaling pathway			IMP	MGI:2180475 	J:124891 	
MGI:1195272	Eda	ectodysplasin-A	X		positive regulation of canonical Wnt signaling pathway	regulates a function/process that happens in skin		IMP	MGI:1856197 	J:151982 	
MGI:95290	Egf	epidermal growth factor	3		positive regulation of canonical Wnt signaling pathway			ISO	P01133 	J:164563 	
MGI:95294	Egfr	epidermal growth factor receptor	11		positive regulation of canonical Wnt signaling pathway			ISO	P00533 	J:164563 	
MGI:1925188	Fam53b	family with sequence similarity 53, member B	7		positive regulation of canonical Wnt signaling pathway			IBA	PTN002822649 	J:265628 	
MGI:1925188	Fam53b	family with sequence similarity 53, member B	7		positive regulation of canonical Wnt signaling pathway			ISO	Q14153 	J:164563 	
MGI:95516	Fgf2	fibroblast growth factor 2	3		positive regulation of canonical Wnt signaling pathway	regulates a function/process that happens in neuronal stem cell		IDA		J:119299 	
MGI:104723	Fgf9	fibroblast growth factor 9	14		positive regulation of canonical Wnt signaling pathway	regulates a function/process that happens in lung,regulates a function/process that happens in mesenchymal stem cell,regulates a function/process that has the participant Wnt2		IMP	MGI:2135961 	J:137691 	
MGI:1099809	Fgf10	fibroblast growth factor 10	13		positive regulation of canonical Wnt signaling pathway			IBA	PTN002608294 	J:265628 	
