"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0050839","cell adhesion molecule binding",219,3,0.12,1,0.00019,0.00019,0.0136986301369863,"Lrrc4c, Cdh20, Tenm3"
"2","MF","GO:0098632","cell-cell adhesion mediator activity",28,1,0.02,3,0.01537,0.01537,0.0357142857142857,"Lrrc4c"
"3","MF","GO:0046872","metal ion binding",3112,5,1.72,4,0.0161,0.0161,0.00160668380462725,"Tshz2, Asap1, Pdzrn3, Astn2, Cdh20"
"4","MF","GO:0043169","cation binding",3197,5,1.77,5,0.01805,0.01805,0.00156396621832968,"Tshz2, Asap1, Pdzrn3, Astn2, Cdh20"
"5","MF","GO:0098631","cell adhesion mediator activity",36,1,0.02,6,0.01972,0.01972,0.0277777777777778,"Lrrc4c"
"6","MF","GO:0005547","phosphatidylinositol-3,4,5-trisphosphate...",38,1,0.02,7,0.0208,0.0208,0.0263157894736842,"Asap1"
"7","MF","GO:0001786","phosphatidylserine binding",56,1,0.03,8,0.03052,0.03052,0.0178571428571429,"Asap1"
"8","MF","GO:0005509","calcium ion binding",520,2,0.29,9,0.03155,0.03155,0.00384615384615385,"Astn2, Cdh20"
"9","MF","GO:0045296","cadherin binding",60,1,0.03,10,0.03267,0.03267,0.0166666666666667,"Cdh20"
"10","MF","GO:0005546","phosphatidylinositol-4,5-bisphosphate bi...",70,1,0.04,11,0.03803,0.03803,0.0142857142857143,"Asap1"
"11","MF","GO:0043178","alcohol binding",72,1,0.04,12,0.03909,0.03909,0.0138888888888889,"Astn2"
"12","MF","GO:0072341","modified amino acid binding",92,1,0.05,13,0.04971,0.04971,0.0108695652173913,"Asap1"
"13","MF","GO:1902936","phosphatidylinositol bisphosphate bindin...",100,1,0.06,14,0.05392,0.05392,0.01,"Asap1"
"14","MF","GO:0042803","protein homodimerization activity",825,2,0.46,15,0.07279,0.07279,0.00242424242424242,"Cdh20, Tenm3"
