"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0050839","cell adhesion molecule binding",219,4,0.15,1,9.7e-06,9.7e-06,0.0182648401826484,"Thy1, Lrrc4c, Cdh20, Tenm3"
"2","MF","GO:0005096","GTPase activator activity",227,2,0.15,3,0.0098,0.0098,0.00881057268722467,"Thy1, Asap1"
"3","MF","GO:0035091","phosphatidylinositol binding",235,2,0.16,4,0.0105,0.0105,0.00851063829787234,"Thy1, Asap1"
"4","MF","GO:0098632","cell-cell adhesion mediator activity",28,1,0.02,8,0.0188,0.0188,0.0357142857142857,"Lrrc4c"
"5","MF","GO:0098631","cell adhesion mediator activity",36,1,0.02,9,0.024,0.024,0.0277777777777778,"Lrrc4c"
"6","MF","GO:0005547","phosphatidylinositol-3,4,5-trisphosphate...",38,1,0.03,10,0.0254,0.0254,0.0263157894736842,"Asap1"
"7","MF","GO:0005543","phospholipid binding",385,2,0.26,11,0.0266,0.0266,0.00519480519480519,"Thy1, Asap1"
"8","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",43,1,0.03,12,0.0287,0.0287,0.0232558139534884,"Cst3"
"9","MF","GO:0001540","amyloid-beta binding",54,1,0.04,14,0.0359,0.0359,0.0185185185185185,"Cst3"
"10","MF","GO:0001786","phosphatidylserine binding",56,1,0.04,15,0.0372,0.0372,0.0178571428571429,"Asap1"
"11","MF","GO:0045296","cadherin binding",60,1,0.04,16,0.0398,0.0398,0.0166666666666667,"Cdh20"
"12","MF","GO:0046872","metal ion binding",3112,5,2.1,17,0.0422,0.0422,0.00160668380462725,"Tshz2, Asap1, Pdzrn3, Astn2, Cdh20"
"13","MF","GO:0005515","protein binding",7706,10,5.2,2,0.043,0.0035,0.00129769011160135,"Thy1, Cst3, Tshz2, Lrrc4c, Asap1, Pdzrn3, Astn2, Cdh20, Tenm3, Sgcz"
"14","MF","GO:0005509","calcium ion binding",520,2,0.35,18,0.0462,0.0462,0.00384615384615385,"Astn2, Cdh20"
"15","MF","GO:0005546","phosphatidylinositol-4,5-bisphosphate bi...",70,1,0.05,19,0.0463,0.0463,0.0142857142857143,"Asap1"
"16","MF","GO:0043169","cation binding",3197,5,2.16,20,0.0468,0.0468,0.00156396621832968,"Tshz2, Asap1, Pdzrn3, Astn2, Cdh20"
"17","MF","GO:0043178","alcohol binding",72,1,0.05,21,0.0476,0.0476,0.0138888888888889,"Astn2"
"18","MF","GO:0072341","modified amino acid binding",92,1,0.06,23,0.0604,0.0604,0.0108695652173913,"Asap1"
"19","MF","GO:1902936","phosphatidylinositol bisphosphate bindin...",100,1,0.07,24,0.0655,0.0655,0.01,"Asap1"
"20","MF","GO:0008289","lipid binding",632,2,0.43,25,0.0655,0.0655,0.00316455696202532,"Thy1, Asap1"
"21","MF","GO:0004866","endopeptidase inhibitor activity",114,1,0.08,26,0.0744,0.0744,0.0087719298245614,"Cst3"
"22","MF","GO:0005178","integrin binding",118,1,0.08,28,0.0769,0.0769,0.00847457627118644,"Thy1"
"23","MF","GO:0061135","endopeptidase regulator activity",121,1,0.08,29,0.0788,0.0788,0.00826446280991736,"Cst3"
"24","MF","GO:0043167","ion binding",4904,6,3.31,30,0.0793,0.0793,0.00122349102773246,"Thy1, Tshz2, Asap1, Pdzrn3, Astn2, Cdh20"
"25","MF","GO:0002020","protease binding",122,1,0.08,31,0.0794,0.0794,0.00819672131147541,"Cst3"
"26","MF","GO:0030414","peptidase inhibitor activity",122,1,0.08,32,0.0794,0.0794,0.00819672131147541,"Cst3"
"27","MF","GO:0042802","identical protein binding",1678,3,1.13,33,0.096,0.096,0.00178784266984505,"Cst3, Cdh20, Tenm3"
"28","MF","GO:0061134","peptidase regulator activity",152,1,0.1,34,0.098,0.098,0.00657894736842105,"Cst3"
"29","MF","GO:1901981","phosphatidylinositol phosphate binding",153,1,0.1,35,0.0986,0.0986,0.0065359477124183,"Asap1"
"30","MF","GO:0042803","protein homodimerization activity",825,2,0.56,36,0.1041,0.1041,0.00242424242424242,"Cdh20, Tenm3"
"31","BP","GO:0007156","homophilic cell adhesion via plasma memb...",93,2,0.07,10,0.0024,0.0024,0.021505376344086,"Cdh20, Tenm3"
"32","BP","GO:0048593","camera-type eye morphogenesis",113,2,0.09,13,0.0035,0.00351,0.0176991150442478,"Thy1, Tenm3"
"33","BP","GO:0034332","adherens junction organization",122,2,0.1,14,0.0041,0.00408,0.0163934426229508,"Thy1, Cdh20"
"34","BP","GO:0010977","negative regulation of neuron projection...",169,2,0.13,21,0.0077,0.00768,0.0118343195266272,"Thy1, Asap1"
"35","BP","GO:0051668","localization within membrane",181,2,0.14,22,0.0088,0.00877,0.0110497237569061,"Thy1, Gpc6"
"36","BP","GO:0043547","positive regulation of GTPase activity",191,2,0.15,26,0.0097,0.00972,0.0104712041884817,"Thy1, Asap1"
