gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Astrocytes	CA1	CA2_3	Cajal	Choroid	Dentate_Gyrus	Fibroblast	Inhibitory_Neurons	MFOL	MOL	Macrophage	Microglia	NFOL	OPC	Pericyte	Unidentified_Neurons	VLMC	Vascular	subiculum
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0269898316	0.0013495685	0.0040780387	0.0	0.0	0.0002395808	0.0	0.00250815	0.0022275345	0.0	0.0	0.010448631	0.0	0.0	0.0	0.0028686084	0.0	0.0	0.0017091725
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0269898316	0.0013495685	0.0040780387	0.0	0.0	0.0002395808	0.0	0.00250815	0.0022275345	0.0	0.0	0.010448631	0.0	0.0	0.0	0.0028686084	0.0	0.0	0.0017091725
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0159740838	0.0896326497	0.1031034981	0.0	0.0452739606	0.1541282183	0.1122897635	0.0909751773	0.0591895527	0.0915361033	0.24415497	0.1123521943	0.0900618653	0.0833944808	0.2016490568	0.0503334461	0.0	0.0715475603	0.0854328332
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0269898316	0.0013495685	0.0040780387	0.0	0.0	0.0002395808	0.0	0.00250815	0.0022275345	0.0	0.0	0.010448631	0.0	0.0	0.0	0.0028686084	0.0	0.0	0.0017091725
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.0	0.0275201585	0.000684236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0159740838	0.0896326497	0.1031034981	0.0	0.0452739606	0.1541282183	0.1122897635	0.0909751773	0.0591895527	0.0915361033	0.24415497	0.1123521943	0.0900618653	0.0833944808	0.2016490568	0.0503334461	0.0	0.0715475603	0.0854328332
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0159740838	0.0896326497	0.1031034981	0.0	0.0452739606	0.1541282183	0.1122897635	0.0909751773	0.0591895527	0.0915361033	0.24415497	0.1123521943	0.0900618653	0.0833944808	0.2016490568	0.0503334461	0.0	0.0715475603	0.0854328332
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0159740838	0.0896326497	0.1031034981	0.0	0.0452739606	0.1541282183	0.1122897635	0.0909751773	0.0591895527	0.0915361033	0.24415497	0.1123521943	0.0900618653	0.0833944808	0.2016490568	0.0503334461	0.0	0.0715475603	0.0854328332
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0159740838	0.0896326497	0.1031034981	0.0	0.0452739606	0.1541282183	0.1122897635	0.0909751773	0.0591895527	0.0915361033	0.24415497	0.1123521943	0.0900618653	0.0833944808	0.2016490568	0.0503334461	0.0	0.0715475603	0.0854328332
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.2000552975	0.4676660815	0.6140994525	1.0825495887	0.2014415562	0.4427771197	0.201235523	0.4755940315	0.2943301469	0.3885914403	0.3398809591	0.2479050411	0.4882360988	0.6375545239	0.0	0.7376469764	0.0194670316	0.5774406035	0.6066010849
