"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004896","cytokine receptor activity",87,1,0.01,1,0.014,0.014,0.0114942528735632,"Il12b"
"2","MF","GO:0005102","signaling receptor binding",1472,2,0.24,2,0.018,0.018,0.00135869565217391,"Thy1, Il12b"
"3","MF","GO:0019955","cytokine binding",116,1,0.02,3,0.019,0.019,0.00862068965517241,"Il12b"
"4","MF","GO:0098772","molecular function regulator",1565,2,0.26,4,0.021,0.021,0.0012779552715655,"Thy1, Il12b"
"5","MF","GO:0005178","integrin binding",128,1,0.02,5,0.021,0.021,0.0078125,"Thy1"
"6","MF","GO:0008083","growth factor activity",133,1,0.02,6,0.022,0.022,0.0075187969924812,"Il12b"
"7","MF","GO:0005125","cytokine activity",155,1,0.03,7,0.025,0.025,0.00645161290322581,"Il12b"
"8","MF","GO:0005096","GTPase activator activity",235,1,0.04,8,0.038,0.038,0.00425531914893617,"Thy1"
"9","MF","GO:0050839","cell adhesion molecule binding",237,1,0.04,9,0.038,0.038,0.00421940928270042,"Thy1"
"10","MF","GO:0035091","phosphatidylinositol binding",247,1,0.04,10,0.04,0.04,0.00404858299595142,"Thy1"
"11","MF","GO:0030695","GTPase regulator activity",253,1,0.04,11,0.041,0.041,0.00395256916996047,"Thy1"
"12","MF","GO:0005126","cytokine receptor binding",253,1,0.04,12,0.041,0.041,0.00395256916996047,"Il12b"
"13","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.05,13,0.047,0.047,0.00343642611683849,"Thy1"
"14","MF","GO:0048018","receptor ligand activity",391,1,0.06,14,0.063,0.063,0.00255754475703325,"Il12b"
"15","MF","GO:0005543","phospholipid binding",407,1,0.07,15,0.065,0.065,0.00245700245700246,"Thy1"
"16","MF","GO:0030545","receptor regulator activity",421,1,0.07,16,0.067,0.067,0.00237529691211401,"Il12b"
"17","MF","GO:0008047","enzyme activator activity",436,1,0.07,17,0.07,0.07,0.00229357798165138,"Thy1"
"18","MF","GO:0046982","protein heterodimerization activity",520,1,0.09,18,0.083,0.083,0.00192307692307692,"Il12b"
"19","MF","GO:0008289","lipid binding",696,1,0.11,19,0.11,0.11,0.0014367816091954,"Thy1"
"20","MF","GO:0019901","protein kinase binding",715,1,0.12,20,0.112,0.112,0.0013986013986014,"Thy1"
"21","MF","GO:0019900","kinase binding",791,1,0.13,21,0.124,0.124,0.00126422250316056,"Thy1"
"22","MF","GO:0042803","protein homodimerization activity",894,1,0.15,22,0.139,0.139,0.00111856823266219,"Il12b"
"23","MF","GO:0030234","enzyme regulator activity",894,1,0.15,23,0.139,0.139,0.00111856823266219,"Thy1"
"24","MF","GO:0044877","protein-containing complex binding",1185,1,0.19,24,0.182,0.182,0.000843881856540084,"Thy1"
"25","MF","GO:0004888","transmembrane signaling receptor activit...",1212,1,0.2,25,0.185,0.185,0.000825082508250825,"Il12b"
"26","MF","GO:0043167","ion binding",5224,2,0.85,26,0.197,0.197,0.000382848392036753,"Thy1, Zfp46"
"27","MF","GO:0046983","protein dimerization activity",1311,1,0.21,27,0.2,0.2,0.0007627765064836,"Il12b"
"28","MF","GO:0038023","signaling receptor activity",1383,1,0.23,28,0.21,0.21,0.000723065798987708,"Il12b"
"29","MF","GO:0060089","molecular transducer activity",1432,1,0.23,29,0.216,0.216,0.000698324022346369,"Il12b"
"30","MF","GO:0042802","identical protein binding",1795,1,0.29,30,0.266,0.266,0.000557103064066852,"Il12b"
"31","MF","GO:0005488","binding",11858,3,1.94,31,0.27,0.27,0.000252993759487266,"Thy1, Il12b, Zfp46"
"32","MF","GO:0003677","DNA binding",1834,1,0.3,32,0.271,0.271,0.00054525627044711,"Zfp46"
"33","MF","GO:0097367","carbohydrate derivative binding",2036,1,0.33,33,0.298,0.298,0.000491159135559921,"Thy1"
"34","MF","GO:0019899","enzyme binding",2238,1,0.37,34,0.323,0.323,0.000446827524575514,"Thy1"
"35","MF","GO:0043168","anion binding",2593,1,0.42,35,0.367,0.367,0.000385653682992673,"Thy1"
"36","MF","GO:0003676","nucleic acid binding",2829,1,0.46,36,0.395,0.395,0.000353481795687522,"Zfp46"
"37","MF","GO:0005515","protein binding",8273,2,1.35,37,0.427,0.427,0.000241750271969056,"Thy1, Il12b"
"38","MF","GO:0046872","metal ion binding",3326,1,0.54,38,0.451,0.451,0.000300661455201443,"Zfp46"
"39","MF","GO:0043169","cation binding",3418,1,0.56,39,0.461,0.461,0.000292568753657109,"Zfp46"
"40","MF","GO:1901363","heterocyclic compound binding",4665,1,0.76,40,0.586,0.586,0.000214362272240086,"Zfp46"
"41","MF","GO:0097159","organic cyclic compound binding",4747,1,0.78,41,0.593,0.593,0.000210659363808721,"Zfp46"
