"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005178","integrin binding",128,1,0.01,1,0.014,0.014,0.0078125,"Thy1"
"2","MF","GO:0005096","GTPase activator activity",235,1,0.03,2,0.025,0.025,0.00425531914893617,"Thy1"
"3","MF","GO:0050839","cell adhesion molecule binding",237,1,0.03,3,0.026,0.026,0.00421940928270042,"Thy1"
"4","MF","GO:0035091","phosphatidylinositol binding",247,1,0.03,4,0.027,0.027,0.00404858299595142,"Thy1"
"5","MF","GO:0030695","GTPase regulator activity",253,1,0.03,5,0.027,0.027,0.00395256916996047,"Thy1"
"6","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.03,6,0.031,0.031,0.00343642611683849,"Thy1"
"7","MF","GO:0005543","phospholipid binding",407,1,0.04,7,0.044,0.044,0.00245700245700246,"Thy1"
"8","MF","GO:0008047","enzyme activator activity",436,1,0.05,8,0.047,0.047,0.00229357798165138,"Thy1"
"9","MF","GO:0008289","lipid binding",696,1,0.08,9,0.074,0.074,0.0014367816091954,"Thy1"
"10","MF","GO:0019901","protein kinase binding",715,1,0.08,10,0.076,0.076,0.0013986013986014,"Thy1"
"11","MF","GO:0019900","kinase binding",791,1,0.09,11,0.084,0.084,0.00126422250316056,"Thy1"
"12","MF","GO:0030234","enzyme regulator activity",894,1,0.1,12,0.095,0.095,0.00111856823266219,"Thy1"
"13","MF","GO:0044877","protein-containing complex binding",1185,1,0.13,13,0.125,0.125,0.000843881856540084,"Thy1"
"14","MF","GO:0005102","signaling receptor binding",1472,1,0.16,14,0.154,0.154,0.000679347826086957,"Thy1"
"15","MF","GO:0098772","molecular function regulator",1565,1,0.17,15,0.163,0.163,0.000638977635782748,"Thy1"
"16","MF","GO:0097367","carbohydrate derivative binding",2036,1,0.22,16,0.21,0.21,0.000491159135559921,"Thy1"
"17","MF","GO:0019899","enzyme binding",2238,1,0.24,17,0.229,0.229,0.000446827524575514,"Thy1"
"18","MF","GO:0043168","anion binding",2593,1,0.28,18,0.263,0.263,0.000385653682992673,"Thy1"
"19","MF","GO:0043167","ion binding",5224,1,0.57,19,0.489,0.489,0.000191424196018377,"Thy1"
"20","MF","GO:0005515","protein binding",8273,1,0.9,20,0.699,0.699,0.000120875135984528,"Thy1"
"21","MF","GO:0005488","binding",11858,1,1.29,21,0.875,0.875,8.4331253162422e-05,"Thy1"
"22","MF","GO:0003674","molecular_function",18336,2,2,22,1,1,0.000109075043630017,"Thy1, Rad51ap2"
"23","MF","GO:0000030","mannosyltransferase activity",26,0,0,23,1,1,0,""
"24","MF","GO:0000049","tRNA binding",57,0,0.01,24,1,1,0,""
"25","MF","GO:0000062","fatty-acyl-CoA binding",26,0,0,25,1,1,0,""
"26","MF","GO:0000149","SNARE binding",116,0,0.01,26,1,1,0,""
