id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	1|1	1|3	1|5	1|6	1|8	1|29	1|34	1|37	3|1	3|3	3|5	3|6	3|8	3|29	3|34	3|37	5|1	5|3	5|5	5|6	5|8	5|29	5|34	5|37	6|1	6|3	6|5	6|6	6|8	6|29	6|34	6|37	8|1	8|3	8|5	8|6	8|8	8|29	8|34	8|37	29|1	29|3	29|5	29|6	29|8	29|29	29|34	29|37	34|1	34|3	34|5	34|6	34|8	34|29	34|34	34|37	37|1	37|3	37|5	37|6	37|8	37|29	37|34	37|37
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	ENSG00000073008	ENSG00000125657	True	True	False	InnateDB-All	False	0.0455710234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0839749282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4459835204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	ENSG00000073008	ENSG00000181847	True	True	False	curated	False	0.0	0.0	0.0	0.0458941081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084298013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4463066052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F1A060D4	PVR_NECTIN3	simple:P15151	simple:Q9NQS3	ENSG00000073008	ENSG00000177707	True	True	False	curated	False	0.1501188301	0.0	0.0	0.2366740502	0.0	0.3239055946	0.1514816948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.188522735	0.0	0.0	0.275077955	0.0	0.3623094995	0.1898855997	0.0	0.5505313271	0.0	0.0	0.6370865472	0.0	0.7243180916	0.5518941919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS00550260E	CADM3_NECTIN3	simple:Q8N126	simple:Q9NQS3	ENSG00000162706	ENSG00000177707	False	False	False	curated	False	0.2288873569	0.0	0.0	0.315442577	0.0	0.4026741214	0.2302502217	0.0	0.2631830915	0.0	0.0	0.3497383115	0.0	0.436969856	0.2645459562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2408588267	0.0	0.0	0.3274140467	0.0	0.4146455912	0.2422216914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4100082613	0.0	0.0	0.4965634814	0.0	0.5837950258	0.411371126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B990492C	CADM1_NECTIN3	simple:Q9BY67	simple:Q9NQS3	ENSG00000182985	ENSG00000177707	False	False	False	curated	False	1.804431849	0.0	0.0	1.8909870691	0.0	1.9782186135	1.8057947137	0.0	1.795530778	0.0	0.0	1.8820859981	0.0	1.9693175425	1.7968936427	0.0	4.4248990231	0.0	0.0	4.5114542431	0.0	4.5986857876	4.4262618878	0.0	1.6888297667	0.0	0.0	1.7753849868	0.0	1.8626165312	1.6901926314	0.0	1.2759122905	0.0	0.0	1.3624675105	0.0	1.449699055	1.2772751552	0.0	4.5127795185	0.0	0.0	4.5993347385	0.0	4.686566283	4.5141423832	0.0	1.2482565457	0.0	0.0	1.3348117658	0.0	1.4220433102	1.2496194105	0.0	1.3491717461	0.0	0.0	1.4357269662	0.0	1.5229585106	1.3505346109	0.0
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	ENSG00000110400	ENSG00000177707	True	True	False	curated	False	0.3825259908	0.0	0.0	0.4690812109	0.0	0.5563127553	0.3838888556	0.0	0.1499457263	0.0	0.0	0.2365009463	0.0	0.3237324908	0.151308591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6102930244	0.0	0.0	0.6968482444	0.0	0.7840797889	0.6116558891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2443136696	0.0	0.0	0.3308688896	0.0	0.4181004341	0.2456765343	0.0	0.5937043091	0.0	0.0	0.6802595291	0.0	0.7674910736	0.5950671738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03859E16F	TIGIT_NECTIN3	simple:Q495A1	simple:Q9NQS3	ENSG00000181847	ENSG00000177707	False	False	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1470758657	0.0	0.0	0.2336310857	0.0	0.3208626302	0.1484387304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS02FBD007E	NECTIN2_NECTIN3	simple:Q92692	simple:Q9NQS3	ENSG00000130202	ENSG00000177707	False	True	False	curated	False	0.1328286325	0.0	0.0	0.2193838525	0.0	0.306615397	0.1341914972	0.0	0.2029111782	0.0	0.0	0.2894663983	0.0	0.3766979427	0.2042740429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09C06644C	CADM3_CADM1	simple:Q8N126	simple:Q9BY67	ENSG00000162706	ENSG00000182985	False	False	False	curated	False	1.7820186183	1.7731175473	4.4024857923	1.666416536	1.2534990597	4.4903662878	1.225843315	1.3267585154	1.8163143528	1.8074132818	4.4367815269	1.7007122705	1.2877947943	4.5246620223	1.2601390495	1.3610542499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.793990088	1.785089017	4.4144572621	1.6783880057	1.2654705295	4.5023377575	1.2378147848	1.3387299851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9631395226	1.9542384516	4.5836066967	1.8475374403	1.4346199641	4.6714871921	1.4069642194	1.5078794198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	ENSG00000182985	ENSG00000182985	False	False	False	curated	False	3.3575631103	3.3486620393	5.9780302844	3.241961028	2.8290435518	6.0659107798	2.8013878071	2.9023030075	3.3486620393	3.3397609683	5.9691292134	3.233059957	2.8201424808	6.0570097088	2.7924867361	2.8934019365	5.9780302844	5.9691292134	8.5984974585	5.8624282021	5.4495107259	8.6863779539	5.4218549811	5.5227701815	3.241961028	3.233059957	5.8624282021	3.1263589457	2.7134414695	5.9503086975	2.6857857248	2.7867009252	2.8290435518	2.8201424808	5.4495107259	2.7134414695	2.3005239933	5.5373912213	2.2728682485	2.3737834489	6.0659107798	6.0570097088	8.6863779539	5.9503086975	5.5373912213	8.7742584493	5.5097354766	5.610650677	2.8013878071	2.7924867361	5.4218549811	2.6857857248	2.2728682485	5.5097354766	2.2452125038	2.3461277042	2.9023030075	2.8934019365	5.5227701815	2.7867009252	2.3737834489	5.610650677	2.3461277042	2.4470429046
