id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	1|1	1|3	1|5	1|6	1|8	1|29	1|34	1|37	3|1	3|3	3|5	3|6	3|8	3|29	3|34	3|37	5|1	5|3	5|5	5|6	5|8	5|29	5|34	5|37	6|1	6|3	6|5	6|6	6|8	6|29	6|34	6|37	8|1	8|3	8|5	8|6	8|8	8|29	8|34	8|37	29|1	29|3	29|5	29|6	29|8	29|29	29|34	29|37	34|1	34|3	34|5	34|6	34|8	34|29	34|34	34|37	37|1	37|3	37|5	37|6	37|8	37|29	37|34	37|37
CPI-SS0FEC87269	KLRG2_TNFSF9	simple:A4D1S0	simple:P41273	ENSG00000188883	ENSG00000125657	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0537912825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5159469937	0.0	0.0	0.0
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	ENSG00000073008	ENSG00000125657	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0708358657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0540002229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1581383985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2252333898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS044DF8749	KLRG2_WNT5B	simple:A4D1S0	simple:Q9H1J7	ENSG00000188883	ENSG00000111186	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123888012	0.0915403418	0.1457241542	0.1179438835	0.0695283036	0.0	0.0	0.6050047979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5860437232	0.553696053	0.6078798654	0.5800995946	0.5316840147	0.0	0.0	1.0671605091
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	ENSG00000073008	ENSG00000153283	True	True	True	curated	False	0.0	0.0	0.0	0.0	0.0903254018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073489759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1776279346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2447229258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	ENSG00000073008	ENSG00000150637	True	True	True	curated	False	0.0	0.0	0.0366949821	0.0	0.1117093191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0198593393	0.0	0.0948736763	0.0	0.0	0.0	0.0	0.0	0.1239975149	0.0	0.199011852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1910925062	0.0	0.2661068432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	ENSG00000073008	ENSG00000181847	True	True	False	curated	False	0.0	0.0	0.0686226907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051787048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1559252236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2230202148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F1A060D4	PVR_NECTIN3	simple:P15151	simple:Q9NQS3	ENSG00000073008	ENSG00000177707	True	True	False	curated	False	0.2110501763	0.1782572487	0.118825186	0.1141210397	0.0906334491	0.5164216995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1942145335	0.1614216059	0.1019895433	0.0972853969	0.0737978063	0.4995860567	0.0	0.0	0.2983527092	0.2655597815	0.2061277189	0.2014235725	0.177935982	0.6037242324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3654477004	0.3326547727	0.2732227101	0.2685185638	0.2450309732	0.6708192236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS00550260E	CADM3_NECTIN3	simple:Q8N126	simple:Q9NQS3	ENSG00000162706	ENSG00000177707	False	False	False	curated	False	0.3503674957	0.317574568	0.2581425054	0.253438359	0.2299507685	0.6557390189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3278938069	0.2951008792	0.2356688166	0.2309646702	0.2074770796	0.63326533	0.0	0.0	0.1946551415	0.1618622138	0.1024301512	0.0977260048	0.0742384143	0.5000266646	0.0	0.0	0.2718308192	0.2390378915	0.1796058289	0.1749016826	0.151414092	0.5772023424	0.0	0.0	1.4763874732	1.4435945455	1.3841624829	1.3794583365	1.355970746	1.7817589964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6750880804	0.6422951527	0.5828630901	0.5781589438	0.5546713532	0.9804596036	0.0	0.0
CPI-SS0B990492C	CADM1_NECTIN3	simple:Q9BY67	simple:Q9NQS3	ENSG00000182985	ENSG00000177707	False	False	False	curated	False	1.8623991934	1.8296062657	1.7701742031	1.7654700567	1.7419824662	2.1677707166	0.0	0.0	2.6123477975	2.5795548699	2.5201228072	2.5154186609	2.4919310703	2.9177193207	0.0	0.0	2.1202390206	2.0874460929	2.0280140303	2.023309884	1.9998222934	2.4256105438	0.0	0.0	1.05947496	1.0266820323	0.9672499697	0.9625458233	0.9390582328	1.3648464832	0.0	0.0	7.5762828429	7.5434899152	7.4840578526	7.4793537063	7.4558661157	7.8816543661	0.0	0.0	1.3830480485	1.3502551209	1.2908230583	1.2861189119	1.2626313213	1.6884195717	0.0	0.0	4.7727590175	4.7399660898	4.6805340272	4.6758298809	4.6523422903	5.0781305407	0.0	0.0	1.333318582	1.3005256543	1.2410935917	1.2363894454	1.2129018548	1.6386901052	0.0	0.0
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	ENSG00000110400	ENSG00000177707	True	True	False	curated	False	0.3760952621	0.3433023345	0.2838702718	0.2791661255	0.2556785349	0.6814667853	0.0	0.0	0.2306938221	0.1979008945	0.1384688318	0.1337646855	0.1102770949	0.5360653453	0.0	0.0	0.3458802794	0.3130873517	0.2536552891	0.2489511428	0.2254635522	0.6512518026	0.0	0.0	0.3631646367	0.330371709	0.2709396464	0.2662355	0.2427479095	0.6685361599	0.0	0.0	0.2231030599	0.1903101323	0.1308780696	0.1261739233	0.1026863327	0.5284745831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3668548922	0.3340619645	0.2746299019	0.2699257555	0.246438165	0.6722264153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
