gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	1	3	5	6	8	29	34	37
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0	0.0	0.0	0.0	0.0346452328	0.0	0.0	0.9589566552
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0687343992	0.0	0.0	0.0350631136	0.2433394649	0.0	0.3775294473	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0	0.0	0.0	0.0	0.0346452328	0.0	0.0	0.9589566552
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0687343992	0.0	0.0	0.0350631136	0.2433394649	0.0	0.3775294473	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0687343992	0.0	0.0	0.0350631136	0.2433394649	0.0	0.3775294473	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0687343992	0.0	0.0	0.0350631136	0.2433394649	0.0	0.3775294473	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0687343992	0.0	0.0	0.0350631136	0.2433394649	0.0	0.3775294473	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.3473690378	0.0	0.3024216602	0.0359443294	0.1902956849	2.5994089929	0.0	0.9968102073
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	3.3714324333	4.8713296416	3.8871120877	1.7655839664	14.7991997323	2.4127301436	9.1921520815	2.3132712105
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.3988245708	0.1080216908	0.3383946053	0.3729633198	0.0928401664	0.0	0.3803438308	0.0
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0	0.0	0.0685109823	0.0	0.0	0.0	0.0	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0	0.1976299416	0.1316822863	0.0	0.1617933751	0.0	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.3473690378	0.0	0.3024216602	0.0359443294	0.1902956849	2.5994089929	0.0	0.9968102073
