"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"1","MF","GO:0005178","integrin binding",118,1,0.01,1,0.0071,0.0071,0.00847457627118644
"2","MF","GO:0005096","GTPase activator activity",227,1,0.01,3,0.0137,0.0137,0.00440528634361234
"3","MF","GO:0035091","phosphatidylinositol binding",233,1,0.01,4,0.014,0.014,0.00429184549356223
"4","MF","GO:0030695","GTPase regulator activity",244,1,0.01,5,0.0147,0.0147,0.00409836065573771
"5","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",280,1,0.02,6,0.0169,0.0169,0.00357142857142857
"6","MF","GO:0005543","phospholipid binding",378,1,0.02,7,0.0228,0.0228,0.00264550264550265
"7","MF","GO:0008047","enzyme activator activity",414,1,0.02,8,0.025,0.025,0.00241545893719807
"8","MF","GO:0008289","lipid binding",628,1,0.04,9,0.0378,0.0378,0.00159235668789809
"9","MF","GO:0019901","protein kinase binding",690,1,0.04,10,0.0416,0.0416,0.00144927536231884
"10","MF","GO:0019900","kinase binding",761,1,0.05,11,0.0459,0.0459,0.00131406044678055
"11","MF","GO:0030234","enzyme regulator activity",827,1,0.05,12,0.0498,0.0498,0.00120918984280532
"12","MF","GO:0098772","molecular function regulator",1394,1,0.08,15,0.084,0.084,0.000717360114777618
"13","MF","GO:0097367","carbohydrate derivative binding",1932,1,0.12,16,0.1164,0.1164,0.0005175983436853
"14","MF","GO:0019899","enzyme binding",2150,1,0.13,17,0.1296,0.1296,0.000465116279069767
"15","MF","GO:0043168","anion binding",2455,1,0.15,18,0.148,0.148,0.000407331975560081
"16","MF","GO:0043167","ion binding",4934,1,0.3,19,0.2974,0.2974,0.000202675314146737
"17","MF","GO:0003674","molecular_function",16593,1,1,22,1,1,6.02663773880552e-05
"18","MF","GO:0005488","binding",10968,1,0.66,21,1,0.661,9.11743253099927e-05
"19","MF","GO:0005102","signaling receptor binding",1326,1,0.08,14,1,0.0799,0.000754147812971342
"20","MF","GO:0044877","protein-containing complex binding",1120,1,0.07,13,1,0.0675,0.000892857142857143
"21","MF","GO:0050839","cell adhesion molecule binding",212,1,0.01,2,1,0.0128,0.00471698113207547
"22","MF","GO:0005515","protein binding",7740,1,0.47,20,1,0.4665,0.000129198966408269
"23","MF","GO:0000030","mannosyltransferase activity",26,0,0,23,1,1,0
"24","MF","GO:0000049","tRNA binding",54,0,0,24,1,1,0
"25","MF","GO:0000062","fatty-acyl-CoA binding",25,0,0,25,1,1,0
"26","MF","GO:0000149","SNARE binding",111,0,0.01,26,1,1,0
"27","MF","GO:0000166","nucleotide binding",1889,0,0.11,27,1,1,0
"28","MF","GO:0000175","3'-5'-exoribonuclease activity",27,0,0,28,1,1,0
"29","MF","GO:0000217","DNA secondary structure binding",23,0,0,29,1,1,0
"30","MF","GO:0000287","magnesium ion binding",179,0,0.01,30,1,1,0
