"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"1","MF","GO:0005261","cation channel activity",251,3,0.26,1,0.0019,0.0019,0.0119521912350598
"2","MF","GO:0022836","gated channel activity",266,3,0.27,2,0.0022,0.0022,0.0112781954887218
"3","MF","GO:0008198","ferrous iron binding",22,1,0.02,9,0.0221,0.0221,0.0454545454545455
"4","MF","GO:0005217","intracellular ligand-gated ion channel a...",22,1,0.02,10,0.0221,0.0221,0.0454545454545455
"5","MF","GO:0022839","ion gated channel activity",254,2,0.26,12,0.0267,0.0267,0.0078740157480315
"6","MF","GO:0098772","molecular function regulator",1266,4,1.29,14,0.0342,0.0342,0.00315955766192733
"7","MF","GO:0043014","alpha-tubulin binding",35,1,0.04,15,0.035,0.035,0.0285714285714286
"8","MF","GO:0005048","signal sequence binding",36,1,0.04,16,0.036,0.036,0.0277777777777778
"9","MF","GO:0003899","DNA-directed 5'-3' RNA polymerase activi...",36,1,0.04,17,0.036,0.036,0.0277777777777778
"10","MF","GO:0015631","tubulin binding",301,2,0.31,18,0.0366,0.0366,0.00664451827242525
"11","MF","GO:0015459","potassium channel regulator activity",37,1,0.04,19,0.037,0.037,0.027027027027027
"12","MF","GO:0034062","5'-3' RNA polymerase activity",37,1,0.04,20,0.037,0.037,0.027027027027027
"13","MF","GO:0097747","RNA polymerase activity",37,1,0.04,21,0.037,0.037,0.027027027027027
"14","MF","GO:0051879","Hsp90 protein binding",38,1,0.04,22,0.038,0.038,0.0263157894736842
"15","MF","GO:0050661","NADP binding",40,1,0.04,23,0.0399,0.0399,0.025
"16","MF","GO:0048487","beta-tubulin binding",41,1,0.04,24,0.0409,0.0409,0.024390243902439
"17","MF","GO:0030544","Hsp70 protein binding",41,1,0.04,25,0.0409,0.0409,0.024390243902439
"18","MF","GO:0005515","protein binding",7174,11,7.29,27,0.0475,0.0475,0.00153331474770003
"19","MF","GO:0005179","hormone activity",59,1,0.06,28,0.0583,0.0583,0.0169491525423729
"20","MF","GO:0019888","protein phosphatase regulator activity",61,1,0.06,30,0.0603,0.0603,0.0163934426229508
"21","MF","GO:0005249","voltage-gated potassium channel activity",67,1,0.07,31,0.066,0.066,0.0149253731343284
"22","MF","GO:0099094","ligand-gated cation channel activity",72,1,0.07,32,0.0708,0.0708,0.0138888888888889
"23","MF","GO:0019208","phosphatase regulator activity",74,1,0.08,33,0.0727,0.0727,0.0135135135135135
"24","MF","GO:0042562","hormone binding",79,1,0.08,34,0.0774,0.0774,0.0126582278481013
"25","MF","GO:0099106","ion channel regulator activity",89,1,0.09,35,0.0868,0.0868,0.0112359550561798
"26","MF","GO:0016616","oxidoreductase activity, acting on the C...",89,1,0.09,36,0.0868,0.0868,0.0112359550561798
"27","MF","GO:0051087","chaperone binding",90,1,0.09,37,0.0877,0.0877,0.0111111111111111
"28","MF","GO:0016614","oxidoreductase activity, acting on CH-OH...",94,1,0.1,38,0.0914,0.0914,0.0106382978723404
"29","MF","GO:0005267","potassium channel activity",96,1,0.1,39,0.0933,0.0933,0.0104166666666667
"30","MF","GO:0015276","ligand-gated ion channel activity",102,1,0.1,40,0.0989,0.0989,0.00980392156862745
"31","BP","GO:0051235","maintenance of location",263,3,0.27,1,0.0021,0.0021,0.0114068441064639
"32","BP","GO:0006812","cation transport",897,4,0.91,2,0.0106,0.0106,0.00445930880713489
"33","BP","GO:0061099","negative regulation of protein tyrosine ...",23,1,0.02,3,0.023,0.023,0.0434782608695652
"34","BP","GO:0051894","positive regulation of focal adhesion as...",25,1,0.03,4,0.025,0.025,0.04
"35","BP","GO:0007611","learning or memory",248,2,0.25,5,0.0254,0.0254,0.00806451612903226
"36","BP","GO:0002691","regulation of cellular extravasation",26,1,0.03,6,0.026,0.026,0.0384615384615385
"37","BP","GO:0021952","central nervous system projection neuron...",26,1,0.03,7,0.026,0.026,0.0384615384615385
"38","BP","GO:0071260","cellular response to mechanical stimulus",27,1,0.03,8,0.027,0.027,0.037037037037037
"39","BP","GO:0042462","eye photoreceptor cell development",27,1,0.03,9,0.027,0.027,0.037037037037037
"40","BP","GO:0048147","negative regulation of fibroblast prolif...",28,1,0.03,10,0.028,0.028,0.0357142857142857
"41","BP","GO:0001523","retinoid metabolic process",29,1,0.03,11,0.029,0.029,0.0344827586206897
"42","BP","GO:0030001","metal ion transport",685,3,0.69,12,0.0295,0.0295,0.00437956204379562
"43","BP","GO:0009112","nucleobase metabolic process",30,1,0.03,13,0.0299,0.0299,0.0333333333333333
"44","BP","GO:0051281","positive regulation of release of seques...",30,1,0.03,14,0.0299,0.0299,0.0333333333333333
"45","BP","GO:0043267","negative regulation of potassium ion tra...",30,1,0.03,15,0.0299,0.0299,0.0333333333333333
"46","BP","GO:0007031","peroxisome organization",30,1,0.03,16,0.0299,0.0299,0.0333333333333333
"47","BP","GO:0050856","regulation of T cell receptor signaling ...",30,1,0.03,17,0.0299,0.0299,0.0333333333333333
"48","BP","GO:1901890","positive regulation of cell junction ass...",30,1,0.03,18,0.0299,0.0299,0.0333333333333333
"49","BP","GO:0016101","diterpenoid metabolic process",31,1,0.03,19,0.0309,0.0309,0.032258064516129
"50","BP","GO:1903393","positive regulation of adherens junction...",31,1,0.03,20,0.0309,0.0309,0.032258064516129
"51","BP","GO:0050890","cognition",277,2,0.28,21,0.0311,0.0311,0.0072202166064982
"52","BP","GO:0002253","activation of immune response",280,2,0.28,22,0.0317,0.0317,0.00714285714285714
"53","BP","GO:0106056","regulation of calcineurin-mediated signa...",32,1,0.03,23,0.0319,0.0319,0.03125
"54","BP","GO:0070884","regulation of calcineurin-NFAT signaling...",32,1,0.03,24,0.0319,0.0319,0.03125
"55","BP","GO:1904062","regulation of cation transmembrane trans...",286,2,0.29,25,0.033,0.033,0.00699300699300699
"56","BP","GO:0009914","hormone transport",287,2,0.29,26,0.0332,0.0332,0.00696864111498258
"57","BP","GO:0006811","ion transport",1263,4,1.28,27,0.0334,0.0334,0.00316706254948535
"58","BP","GO:0006826","iron ion transport",34,1,0.03,28,0.0339,0.0339,0.0294117647058824
"59","BP","GO:0070570","regulation of neuron projection regenera...",34,1,0.03,29,0.0339,0.0339,0.0294117647058824
"60","BP","GO:0006721","terpenoid metabolic process",34,1,0.03,30,0.0339,0.0339,0.0294117647058824
"61","CC","GO:0044304","main axon",80,2,0.08,4,0.0028,0.0028,0.025
"62","CC","GO:0030425","dendrite",649,4,0.65,6,0.0032,0.0032,0.0061633281972265
"63","CC","GO:0044297","cell body",707,4,0.7,8,0.0043,0.0043,0.00565770862800566
"64","CC","GO:0034703","cation channel complex",187,2,0.19,14,0.0145,0.0145,0.0106951871657754
"65","CC","GO:0030426","growth cone",196,2,0.2,15,0.0158,0.0158,0.0102040816326531
"66","CC","GO:0030427","site of polarized growth",198,2,0.2,16,0.0161,0.0161,0.0101010101010101
"67","CC","GO:0031226","intrinsic component of plasma membrane",1037,4,1.03,17,0.0165,0.0165,0.0038572806171649
"68","CC","GO:0043209","myelin sheath",204,2,0.2,18,0.0171,0.0171,0.00980392156862745
"69","CC","GO:0090723","growth cone part",20,1,0.02,19,0.0197,0.0197,0.05
"70","CC","GO:0030673","axolemma",21,1,0.02,20,0.0207,0.0207,0.0476190476190476
"71","CC","GO:0043025","neuronal cell body",632,3,0.63,21,0.0229,0.0229,0.00474683544303797
"72","CC","GO:0034702","ion channel complex",245,2,0.24,22,0.0241,0.0241,0.00816326530612245
"73","CC","GO:0032839","dendrite cytoplasm",26,1,0.03,23,0.0256,0.0256,0.0384615384615385
"74","CC","GO:1902495","transmembrane transporter complex",258,2,0.26,24,0.0265,0.0265,0.00775193798449612
"75","CC","GO:0097431","mitotic spindle pole",27,1,0.03,25,0.0266,0.0266,0.037037037037037
"76","CC","GO:1990351","transporter complex",265,2,0.26,26,0.0278,0.0278,0.00754716981132075
"77","CC","GO:0051233","spindle midzone",30,1,0.03,27,0.0295,0.0295,0.0333333333333333
"78","CC","GO:0032809","neuronal cell body membrane",31,1,0.03,28,0.0304,0.0304,0.032258064516129
"79","CC","GO:0044298","cell body membrane",33,1,0.03,29,0.0324,0.0324,0.0303030303030303
"80","CC","GO:0045121","membrane raft",308,2,0.31,30,0.0367,0.0367,0.00649350649350649
"81","CC","GO:0098857","membrane microdomain",309,2,0.31,31,0.0369,0.0369,0.00647249190938511
"82","CC","GO:0120111","neuron projection cytoplasm",38,1,0.04,32,0.0372,0.0372,0.0263157894736842
"83","CC","GO:0005778","peroxisomal membrane",39,1,0.04,33,0.0382,0.0382,0.0256410256410256
"84","CC","GO:0031903","microbody membrane",39,1,0.04,34,0.0382,0.0382,0.0256410256410256
"85","CC","GO:0098589","membrane region",318,2,0.32,35,0.0389,0.0389,0.00628930817610063
"86","CC","GO:0032590","dendrite membrane",43,1,0.04,36,0.042,0.042,0.0232558139534884
"87","CC","GO:0150034","distal axon",336,2,0.33,37,0.043,0.043,0.00595238095238095
"88","CC","GO:0044438","microbody part",52,1,0.05,38,0.0506,0.0506,0.0192307692307692
"89","CC","GO:0044439","peroxisomal part",52,1,0.05,39,0.0506,0.0506,0.0192307692307692
"90","CC","GO:0046658","anchored component of plasma membrane",54,1,0.05,40,0.0525,0.0525,0.0185185185185185
