"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"1","MF","GO:0030165","PDZ domain binding",111,5,0.24,1,4e-06,4e-06,0.045045045045045
"2","MF","GO:0008066","glutamate receptor activity",26,3,0.06,2,2.4e-05,2.4e-05,0.115384615384615
"3","MF","GO:0005245","voltage-gated calcium channel activity",45,2,0.1,9,0.0044,0.00436,0.0444444444444444
"4","MF","GO:0001540","amyloid-beta binding",52,2,0.11,10,0.0058,0.00578,0.0384615384615385
"5","MF","GO:0022824","transmitter-gated ion channel activity",53,2,0.12,12,0.006,0.006,0.0377358490566038
"6","MF","GO:0005516","calmodulin binding",171,3,0.38,14,0.0061,0.00613,0.0175438596491228
"7","MF","GO:0045296","cadherin binding",54,2,0.12,15,0.0062,0.00622,0.037037037037037
"8","MF","GO:0001099","basal RNA polymerase II transcription ma...",56,2,0.12,17,0.0067,0.00668,0.0357142857142857
"9","MF","GO:0016597","amino acid binding",63,2,0.14,21,0.0084,0.00839,0.0317460317460317
"10","MF","GO:0099106","ion channel regulator activity",95,2,0.21,24,0.0184,0.01835,0.0210526315789474
"11","MF","GO:0016247","channel regulator activity",119,2,0.26,28,0.0279,0.02794,0.0168067226890756
"12","MF","GO:0044325","ion channel binding",123,2,0.27,30,0.0297,0.02969,0.016260162601626
"13","MF","GO:0001085","RNA polymerase II transcription factor b...",128,2,0.28,32,0.0319,0.03195,0.015625
"14","MF","GO:0004930","G protein-coupled receptor activity",322,3,0.71,33,0.033,0.03303,0.0093167701863354
"15","MF","GO:0004888","transmembrane signaling receptor activit...",650,7,1.43,4,0.0344,0.00044,0.0107692307692308
"16","MF","GO:0008092","cytoskeletal protein binding",855,5,1.88,34,0.0371,0.03709,0.00584795321637427
"17","MF","GO:0030215","semaphorin receptor binding",20,1,0.04,35,0.043,0.043,0.05
"18","MF","GO:0099095","ligand-gated anion channel activity",20,1,0.04,36,0.043,0.043,0.05
"19","MF","GO:0050998","nitric-oxide synthase binding",21,1,0.05,37,0.0451,0.04511,0.0476190476190476
"20","MF","GO:0001091","RNA polymerase II basal transcription fa...",21,1,0.05,38,0.0451,0.04511,0.0476190476190476
"21","MF","GO:0005539","glycosaminoglycan binding",157,2,0.34,39,0.0463,0.04629,0.0127388535031847
"22","MF","GO:0008266","poly(U) RNA binding",25,1,0.05,44,0.0535,0.05347,0.04
"23","MF","GO:0098772","molecular function regulator",1280,6,2.81,46,0.0571,0.05708,0.0046875
"24","MF","GO:0003712","transcription coregulator activity",403,3,0.88,47,0.0576,0.05761,0.00744416873449132
"25","MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesteras...",27,1,0.06,48,0.0576,0.05763,0.037037037037037
"26","MF","GO:0004683","calmodulin-dependent protein kinase acti...",27,1,0.06,49,0.0576,0.05763,0.037037037037037
"27","MF","GO:0043425","bHLH transcription factor binding",27,1,0.06,50,0.0576,0.05763,0.037037037037037
"28","MF","GO:0045499","chemorepellent activity",27,1,0.06,51,0.0576,0.05763,0.037037037037037
"29","MF","GO:0017080","sodium channel regulator activity",28,1,0.06,53,0.0597,0.0597,0.0357142857142857
"30","MF","GO:0004112","cyclic-nucleotide phosphodiesterase acti...",28,1,0.06,54,0.0597,0.0597,0.0357142857142857
"31","BP","GO:2000300","regulation of synaptic vesicle exocytosi...",98,4,0.23,14,8.4e-05,8.4e-05,0.0408163265306122
"32","BP","GO:0008090","retrograde axonal transport",20,2,0.05,39,0.001,0.00102,0.1
"33","BP","GO:0035249","synaptic transmission, glutamatergic",96,3,0.23,45,0.0015,0.00152,0.03125
"34","BP","GO:0098901","regulation of cardiac muscle cell action...",25,2,0.06,47,0.0016,0.0016,0.08
"35","BP","GO:0014047","glutamate secretion",32,2,0.08,61,0.0026,0.00262,0.0625
"36","BP","GO:0034332","adherens junction organization",119,3,0.28,62,0.0028,0.00281,0.0252100840336134
"37","BP","GO:0007600","sensory perception",447,5,1.06,72,0.0039,0.00392,0.0111856823266219
"38","BP","GO:0007157","heterophilic cell-cell adhesion via plas...",44,2,0.1,77,0.0049,0.0049,0.0454545454545455
"39","BP","GO:0008089","anterograde axonal transport",45,2,0.11,78,0.0051,0.00512,0.0444444444444444
"40","BP","GO:0001662","behavioral fear response",48,2,0.11,82,0.0058,0.00581,0.0416666666666667
