"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"1","MF","GO:0005178","integrin binding",113,2,0.03,2,0.00047,0.00047,0.0176991150442478
"2","MF","GO:0005096","GTPase activator activity",227,2,0.07,4,0.00188,0.00188,0.00881057268722467
"3","MF","GO:0048018","receptor ligand activity",290,2,0.09,7,0.00305,0.00305,0.00689655172413793
"4","MF","GO:0005543","phospholipid binding",379,2,0.12,10,0.00515,0.00515,0.00527704485488127
"5","MF","GO:0005104","fibroblast growth factor receptor bindin...",21,1,0.01,12,0.00643,0.00643,0.0476190476190476
"6","MF","GO:0030544","Hsp70 protein binding",45,1,0.01,14,0.01374,0.01374,0.0222222222222222
"7","MF","GO:0005179","hormone activity",70,1,0.02,15,0.02131,0.02131,0.0142857142857143
"8","MF","GO:0042562","hormone binding",88,1,0.03,18,0.02673,0.02673,0.0113636363636364
"9","MF","GO:0008083","growth factor activity",99,1,0.03,19,0.03003,0.03003,0.0101010101010101
"10","MF","GO:0008201","heparin binding",121,1,0.04,21,0.0366,0.0366,0.00826446280991736
"11","MF","GO:0031072","heat shock protein binding",130,1,0.04,22,0.03928,0.03928,0.00769230769230769
"12","MF","GO:0005539","glycosaminoglycan binding",168,1,0.05,24,0.05052,0.05052,0.00595238095238095
"13","MF","GO:1901681","sulfur compound binding",203,1,0.06,25,0.06079,0.06079,0.00492610837438424
"14","MF","GO:0035091","phosphatidylinositol binding",233,1,0.07,26,0.06952,0.06952,0.00429184549356223
"15","MF","GO:0097367","carbohydrate derivative binding",1913,2,0.59,27,0.10828,0.10828,0.00104547830632514
"16","MF","GO:0046982","protein heterodimerization activity",479,1,0.15,28,0.13866,0.13866,0.00208768267223382
"17","MF","GO:0019901","protein kinase binding",683,1,0.21,31,0.19282,0.19282,0.00146412884333821
"18","MF","GO:0019900","kinase binding",758,1,0.23,32,0.21204,0.21204,0.00131926121372032
"19","MF","GO:0046983","protein dimerization activity",1198,1,0.37,33,0.31753,0.31753,0.000834724540901503
"20","MF","GO:0043168","anion binding",2426,3,0.74,17,0.33849,0.02608,0.00123660346248969
"21","MF","GO:0042802","identical protein binding",1664,1,0.51,34,0.41661,0.41661,0.000600961538461538
"22","MF","GO:0019899","enzyme binding",2146,1,0.66,36,0.50663,0.50663,0.000465983224603914
"23","MF","GO:0043167","ion binding",4848,3,1.49,30,0.62819,0.15994,0.000618811881188119
"24","MF","GO:0005515","protein binding",7656,4,2.35,29,0.70506,0.15225,0.000522466039707419
"25","MF","GO:0030695","GTPase regulator activity",244,2,0.07,5,1,0.00217,0.00819672131147541
"26","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",280,2,0.09,6,1,0.00285,0.00714285714285714
"27","MF","GO:0030545","receptor regulator activity",318,2,0.1,8,1,0.00365,0.00628930817610063
"28","MF","GO:0005488","binding",10817,4,3.32,35,1,0.45584,0.000369788296200425
"29","MF","GO:0008289","lipid binding",624,2,0.19,13,1,0.01357,0.00320512820512821
