"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"1","MF","GO:0042803","protein homodimerization activity",808,14,4.54,1,0.00016,0.00016,0.0173267326732673
"2","MF","GO:0045296","cadherin binding",54,4,0.3,3,0.00024,0.00024,0.0740740740740741
"3","MF","GO:0045499","chemorepellent activity",27,3,0.15,6,0.00046,0.00046,0.111111111111111
"4","MF","GO:0008376","acetylgalactosaminyltransferase activity",37,3,0.21,7,0.00116,0.00116,0.0810810810810811
"5","MF","GO:0005509","calcium ion binding",499,9,2.81,8,0.00195,0.00195,0.0180360721442886
"6","MF","GO:0098632","cell-cell adhesion mediator activity",27,2,0.15,12,0.01002,0.01002,0.0740740740740741
"7","MF","GO:0008092","cytoskeletal protein binding",885,11,4.98,13,0.01064,0.01064,0.0124293785310734
"8","MF","GO:0030594","neurotransmitter receptor activity",91,3,0.51,14,0.01464,0.01464,0.032967032967033
"9","MF","GO:0043394","proteoglycan binding",33,2,0.19,15,0.01475,0.01475,0.0606060606060606
"10","MF","GO:0098631","cell adhesion mediator activity",35,2,0.2,17,0.0165,0.0165,0.0571428571428571
"11","MF","GO:0046982","protein heterodimerization activity",477,7,2.68,18,0.01787,0.01787,0.0146750524109015
"12","MF","GO:0003700","DNA-binding transcription factor activit...",738,9,4.15,21,0.02276,0.02276,0.0121951219512195
"13","MF","GO:0015276","ligand-gated ion channel activity",111,3,0.62,22,0.02467,0.02467,0.027027027027027
"14","MF","GO:0022834","ligand-gated channel activity",114,3,0.64,25,0.02643,0.02643,0.0263157894736842
"15","MF","GO:0038023","signaling receptor activity",885,10,4.98,26,0.02662,0.02662,0.0112994350282486
"16","MF","GO:0008146","sulfotransferase activity",46,2,0.26,27,0.02758,0.02758,0.0434782608695652
"17","MF","GO:0003707","steroid hormone receptor activity",46,2,0.26,28,0.02758,0.02758,0.0434782608695652
"18","MF","GO:1904315","transmitter-gated ion channel activity i...",48,2,0.27,29,0.02984,0.02984,0.0416666666666667
"19","MF","GO:0051018","protein kinase A binding",49,2,0.28,30,0.031,0.031,0.0408163265306122
"20","MF","GO:0000981","DNA-binding transcription factor activit...",541,7,3.04,31,0.0326,0.0326,0.0129390018484288
"21","MF","GO:0099529","neurotransmitter receptor activity invol...",51,2,0.29,32,0.03337,0.03337,0.0392156862745098
"22","MF","GO:0140110","transcription regulator activity",1059,11,5.96,33,0.03491,0.03491,0.0103871576959396
"23","MF","GO:0060089","molecular transducer activity",930,10,5.23,34,0.0357,0.0357,0.010752688172043
"24","MF","GO:0022824","transmitter-gated ion channel activity",53,2,0.3,35,0.03581,0.03581,0.0377358490566038
"25","MF","GO:0001540","amyloid-beta binding",53,2,0.3,36,0.03581,0.03581,0.0377358490566038
"26","MF","GO:0098960","postsynaptic neurotransmitter receptor a...",53,2,0.3,37,0.03581,0.03581,0.0377358490566038
"27","MF","GO:0022835","transmitter-gated channel activity",53,2,0.3,38,0.03581,0.03581,0.0377358490566038
"28","MF","GO:0004714","transmembrane receptor protein tyrosine ...",54,2,0.3,39,0.03705,0.03705,0.037037037037037
"29","MF","GO:0005230","extracellular ligand-gated ion channel a...",61,2,0.34,41,0.04621,0.04621,0.0327868852459016
"30","MF","GO:0016782","transferase activity, transferring sulfu...",61,2,0.34,42,0.04621,0.04621,0.0327868852459016
"31","BP","GO:0007411","axon guidance",204,10,1.16,1,2.3e-07,2.3e-07,0.0490196078431373
"32","BP","GO:0007156","homophilic cell adhesion via plasma memb...",90,6,0.51,29,1.2e-05,1.2e-05,0.0666666666666667
"33","BP","GO:0016339","calcium-dependent cell-cell adhesion via...",26,4,0.15,31,1.3e-05,1.3e-05,0.153846153846154
"34","BP","GO:0021952","central nervous system projection neuron...",27,4,0.15,32,1.5e-05,1.5e-05,0.148148148148148
"35","BP","GO:0044331","cell-cell adhesion mediated by cadherin",31,4,0.18,36,2.7e-05,2.7e-05,0.129032258064516
"36","BP","GO:0007626","locomotory behavior",219,8,1.24,38,3.4e-05,3.4e-05,0.0365296803652968
"37","BP","GO:0050919","negative chemotaxis",43,4,0.24,46,1e-04,1e-04,0.0930232558139535
"38","BP","GO:0007043","cell-cell junction assembly",92,5,0.52,50,0.00017,0.00017,0.0543478260869565
"39","BP","GO:0032413","negative regulation of ion transmembrane...",58,4,0.33,56,0.00032,0.00032,0.0689655172413793
"40","BP","GO:0050771","negative regulation of axonogenesis",66,4,0.37,58,0.00053,0.00053,0.0606060606060606
"41","BP","GO:0001964","startle response",29,3,0.16,61,0.00058,0.00058,0.103448275862069
"42","BP","GO:0051965","positive regulation of synapse assembly",71,4,0.4,64,7e-04,7e-04,0.0563380281690141
"43","BP","GO:0050804","modulation of chemical synaptic transmis...",484,9,2.74,76,0.00166,0.00166,0.0185950413223141
"44","BP","GO:0007416","synapse assembly",166,8,0.94,22,0.00178,4.5e-06,0.0481927710843374
"45","BP","GO:0007157","heterophilic cell-cell adhesion via plas...",43,3,0.24,79,0.00184,0.00184,0.0697674418604651
"46","BP","GO:0099537","trans-synaptic signaling",653,14,3.7,33,0.00196,1.7e-05,0.0214395099540582
"47","BP","GO:0030534","adult behavior",162,5,0.92,82,0.00226,0.00226,0.0308641975308642
"48","BP","GO:0030516","regulation of axon extension",102,4,0.58,86,0.00268,0.00268,0.0392156862745098
"49","BP","GO:0008038","neuron recognition",49,3,0.28,87,0.00268,0.00268,0.0612244897959184
"50","BP","GO:0007611","learning or memory",261,6,1.48,90,0.00365,0.00365,0.0229885057471264
"51","BP","GO:0034332","adherens junction organization",118,4,0.67,96,0.00452,0.00452,0.0338983050847458
"52","BP","GO:0016358","dendrite development",280,6,1.59,99,0.00513,0.00513,0.0214285714285714
"53","BP","GO:0014912","negative regulation of smooth muscle cel...",20,2,0.11,102,0.00564,0.00564,0.1
"54","BP","GO:1904375","regulation of protein localization to ce...",126,4,0.71,103,0.00569,0.00569,0.0317460317460317
"55","BP","GO:0022029","telencephalon cell migration",66,3,0.37,105,0.00621,0.00621,0.0454545454545455
"56","BP","GO:0006144","purine nucleobase metabolic process",22,2,0.12,107,0.00681,0.00681,0.0909090909090909
"57","BP","GO:0021510","spinal cord development",69,3,0.39,108,0.00703,0.00703,0.0434782608695652
"58","BP","GO:0021953","central nervous system neuron differenti...",167,8,0.95,23,0.00705,4.7e-06,0.0479041916167665
"59","BP","GO:0061036","positive regulation of cartilage develop...",24,2,0.14,113,0.00807,0.00807,0.0833333333333333
"60","BP","GO:0007155","cell adhesion",1059,19,6,24,0.00824,5.9e-06,0.0179414542020774
"61","CC","GO:0016342","catenin complex",23,4,0.13,7,8e-06,8e-06,0.173913043478261
"62","CC","GO:0005887","integral component of plasma membrane",1116,21,6.36,3,1.4e-05,9e-07,0.0188172043010753
