"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"1","MF","GO:0005179","hormone activity",72,1,0,1,0.0045,0.0045,0.0138888888888889
"2","MF","GO:0042562","hormone binding",88,1,0.01,2,0.0055,0.0055,0.0113636363636364
"3","MF","GO:0046982","protein heterodimerization activity",492,1,0.03,5,0.0306,0.0306,0.00203252032520325
"4","MF","GO:0046983","protein dimerization activity",1221,1,0.08,6,0.0759,0.0759,0.000819000819000819
"5","MF","GO:0042802","identical protein binding",1681,1,0.1,9,0.1044,0.1044,0.000594883997620464
"6","MF","GO:0003674","molecular_function",16097,1,1,12,1,1,6.21233770267752e-05
"7","MF","GO:0005488","binding",10772,1,0.67,11,1,0.6692,9.28332714444857e-05
"8","MF","GO:0005102","signaling receptor binding",1310,1,0.08,7,1,0.0814,0.000763358778625954
"9","MF","GO:0098772","molecular function regulator",1366,1,0.08,8,1,0.0849,0.000732064421669107
"10","MF","GO:0030545","receptor regulator activity",326,1,0.02,4,1,0.0203,0.00306748466257669
"11","MF","GO:0048018","receptor ligand activity",299,1,0.02,3,1,0.0186,0.00334448160535117
"12","MF","GO:0005515","protein binding",7645,1,0.47,10,1,0.4749,0.00013080444735121
"13","MF","GO:0000030","mannosyltransferase activity",26,0,0,13,1,1,0
"14","MF","GO:0000049","tRNA binding",54,0,0,14,1,1,0
"15","MF","GO:0000062","fatty-acyl-CoA binding",25,0,0,15,1,1,0
"16","MF","GO:0000149","SNARE binding",113,0,0.01,16,1,1,0
"17","MF","GO:0000166","nucleotide binding",1874,0,0.12,17,1,1,0
"18","MF","GO:0000175","3'-5'-exoribonuclease activity",27,0,0,18,1,1,0
"19","MF","GO:0000217","DNA secondary structure binding",23,0,0,19,1,1,0
"20","MF","GO:0000287","magnesium ion binding",176,0,0.01,20,1,1,0
"21","MF","GO:0000976","transcription regulatory region sequence...",683,0,0.04,21,1,1,0
"22","MF","GO:0000977","RNA polymerase II regulatory region sequ...",643,0,0.04,22,1,1,0
"23","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",450,0,0.03,23,1,1,0
"24","MF","GO:0000979","RNA polymerase II core promoter sequence...",35,0,0,24,1,1,0
"25","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",71,0,0,25,1,1,0
"26","MF","GO:0000981","DNA-binding transcription factor activit...",576,0,0.04,26,1,1,0
"27","MF","GO:0000987","proximal promoter sequence-specific DNA ...",461,0,0.03,27,1,1,0
"28","MF","GO:0000993","RNA polymerase II complex binding",36,0,0,28,1,1,0
"29","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",651,0,0.04,29,1,1,0
"30","MF","GO:0001046","core promoter sequence-specific DNA bind...",46,0,0,30,1,1,0
"31","BP","GO:0006144","purine nucleobase metabolic process",22,1,0,1,0.0014,0.0014,0.0454545454545455
"32","BP","GO:0001523","retinoid metabolic process",34,1,0,2,0.0021,0.0021,0.0294117647058824
"33","BP","GO:0034308","primary alcohol metabolic process",48,1,0,6,0.003,0.003,0.0208333333333333
"34","BP","GO:0034754","cellular hormone metabolic process",74,1,0,8,0.0046,0.0046,0.0135135135135135
"35","BP","GO:0009914","hormone transport",311,1,0.02,11,0.0192,0.0192,0.00321543408360129
"36","BP","GO:0006810","transport",3782,1,0.23,20,0.2339,0.2339,0.000264410364886304
"37","BP","GO:0051234","establishment of localization",3910,1,0.24,21,0.2419,0.2419,0.000255754475703325
"38","BP","GO:0051179","localization",5098,1,0.32,27,0.3153,0.3153,0.000196155355041193
"39","BP","GO:0006629","lipid metabolic process",1066,1,0.07,17,1,0.0659,0.000938086303939962
"40","BP","GO:0034641","cellular nitrogen compound metabolic pro...",4837,1,0.3,26,1,0.2992,0.000206739714699194
