"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"1","MF","GO:0005509","calcium ion binding",489,11,3.18,1,0.00033,0.00033,0.0224948875255624
"2","MF","GO:0005261","cation channel activity",271,8,1.76,3,0.00038,0.00038,0.029520295202952
"3","MF","GO:0045296","cadherin binding",53,4,0.34,4,0.00039,0.00039,0.0754716981132075
"4","MF","GO:0022839","ion gated channel activity",274,8,1.78,5,0.00041,0.00041,0.0291970802919708
"5","MF","GO:0045499","chemorepellent activity",27,3,0.18,10,7e-04,7e-04,0.111111111111111
"6","MF","GO:0016758","transferase activity, transferring hexos...",167,6,1.09,11,0.00077,0.00077,0.0359281437125748
"7","MF","GO:0008194","UDP-glycosyltransferase activity",114,5,0.74,12,0.00088,0.00088,0.043859649122807
"8","MF","GO:0004714","transmembrane receptor protein tyrosine ...",53,3,0.34,20,0.00493,0.00493,0.0566037735849057
"9","MF","GO:0042803","protein homodimerization activity",790,12,5.13,21,0.00511,0.00511,0.0151898734177215
"10","MF","GO:0008066","glutamate receptor activity",24,2,0.16,28,0.01051,0.01051,0.0833333333333333
"11","MF","GO:0005251","delayed rectifier potassium channel acti...",27,2,0.18,30,0.0132,0.0132,0.0740740740740741
"12","MF","GO:0098632","cell-cell adhesion mediator activity",27,2,0.18,31,0.0132,0.0132,0.0740740740740741
"13","MF","GO:0098918","structural constituent of synapse",29,2,0.19,35,0.01514,0.01514,0.0689655172413793
"14","MF","GO:0030594","neurotransmitter receptor activity",85,3,0.55,38,0.0179,0.0179,0.0352941176470588
"15","MF","GO:0016301","kinase activity",702,12,4.56,15,0.02161,0.00196,0.0170940170940171
"16","MF","GO:0098631","cell adhesion mediator activity",35,2,0.23,40,0.02164,0.02164,0.0571428571428571
"17","MF","GO:0099106","ion channel regulator activity",93,3,0.6,42,0.02267,0.02267,0.032258064516129
"18","MF","GO:0008376","acetylgalactosaminyltransferase activity",36,2,0.23,43,0.02281,0.02281,0.0555555555555556
"19","MF","GO:0016772","transferase activity, transferring phosp...",833,13,5.41,17,0.02557,0.00283,0.0156062424969988
"20","MF","GO:0005244","voltage-gated ion channel activity",173,4,1.12,44,0.02628,0.02628,0.023121387283237
"21","MF","GO:0022832","voltage-gated channel activity",173,4,1.12,45,0.02628,0.02628,0.023121387283237
"22","MF","GO:0019213","deacetylase activity",39,2,0.25,46,0.0265,0.0265,0.0512820512820513
"23","MF","GO:0015459","potassium channel regulator activity",41,2,0.27,48,0.02908,0.02908,0.0487804878048781
"24","MF","GO:0005267","potassium channel activity",106,3,0.69,49,0.03174,0.03174,0.0283018867924528
"25","MF","GO:0015276","ligand-gated ion channel activity",106,3,0.69,50,0.03174,0.03174,0.0283018867924528
"26","MF","GO:0008146","sulfotransferase activity",44,2,0.29,51,0.03313,0.03313,0.0454545454545455
"27","MF","GO:0022834","ligand-gated channel activity",109,3,0.71,52,0.03407,0.03407,0.0275229357798165
"28","MF","GO:0016773","phosphotransferase activity, alcohol gro...",646,11,4.2,18,0.03415,0.00313,0.0170278637770898
"29","MF","GO:1904315","transmitter-gated ion channel activity i...",45,2,0.29,53,0.03453,0.03453,0.0444444444444444
"30","MF","GO:0008375","acetylglucosaminyltransferase activity",46,2,0.3,54,0.03595,0.03595,0.0434782608695652
"31","BP","GO:0007411","axon guidance",200,10,1.31,9,7.3e-07,7.3e-07,0.05
"32","BP","GO:0050771","negative regulation of axonogenesis",65,6,0.42,22,4.1e-06,4.1e-06,0.0923076923076923
"33","BP","GO:0016339","calcium-dependent cell-cell adhesion via...",26,4,0.17,35,2.3e-05,2.3e-05,0.153846153846154
"34","BP","GO:2000300","regulation of synaptic vesicle exocytosi...",93,6,0.61,37,3.2e-05,3.2e-05,0.0645161290322581
"35","BP","GO:0044331","cell-cell adhesion mediated by cadherin",31,4,0.2,44,4.7e-05,4.7e-05,0.129032258064516
"36","BP","GO:0007156","homophilic cell adhesion via plasma memb...",89,5,0.58,77,0.00029,0.00029,0.0561797752808989
"37","BP","GO:0007043","cell-cell junction assembly",91,5,0.59,78,0.00032,0.00032,0.0549450549450549
"38","BP","GO:0048670","regulation of collateral sprouting",23,3,0.15,82,0.00044,0.00044,0.130434782608696
"39","BP","GO:0007610","behavior",603,12,3.94,85,0.00056,0.00056,0.0199004975124378
"40","BP","GO:0021952","central nervous system projection neuron...",26,3,0.17,87,0.00063,0.00063,0.115384615384615
"41","BP","GO:0009101","glycoprotein biosynthetic process",245,7,1.6,95,0.00112,0.00112,0.0285714285714286
"42","BP","GO:0048013","ephrin receptor signaling pathway",32,3,0.21,98,0.00117,0.00117,0.09375
"43","BP","GO:0007268","chemical synaptic transmission",627,16,4.1,16,0.00171,2.9e-06,0.025518341307815
"44","BP","GO:0021953","central nervous system neuron differenti...",165,8,1.08,31,0.00192,1.2e-05,0.0484848484848485
"45","BP","GO:0050919","negative chemotaxis",43,3,0.28,117,0.00277,0.00277,0.0697674418604651
"46","BP","GO:0001764","neuron migration",157,5,1.03,122,0.00368,0.00368,0.0318471337579618
"47","BP","GO:0051963","regulation of synapse assembly",108,4,0.71,126,0.00548,0.00548,0.037037037037037
"48","BP","GO:0007416","synapse assembly",165,7,1.08,52,0.0056,1e-04,0.0424242424242424
"49","BP","GO:1990138","neuron projection extension",176,5,1.15,130,0.00596,0.00596,0.0284090909090909
"50","BP","GO:0050773","regulation of dendrite development",176,5,1.15,131,0.00596,0.00596,0.0284090909090909
"51","BP","GO:0032413","negative regulation of ion transmembrane...",57,3,0.37,132,0.00614,0.00614,0.0526315789473684
"52","BP","GO:0021675","nerve development",59,3,0.39,134,0.00676,0.00676,0.0508474576271186
"53","BP","GO:0048640","negative regulation of developmental gro...",116,4,0.76,135,0.00704,0.00704,0.0344827586206897
"54","BP","GO:0060996","dendritic spine development",117,4,0.76,136,0.00726,0.00726,0.0341880341880342
"55","BP","GO:0034332","adherens junction organization",118,4,0.77,137,0.00748,0.00748,0.0338983050847458
"56","BP","GO:0010829","negative regulation of glucose transmemb...",21,2,0.14,139,0.00819,0.00819,0.0952380952380952
"57","BP","GO:0050877","nervous system process",941,13,6.15,140,0.00822,0.00822,0.0138150903294368
"58","BP","GO:0098742","cell-cell adhesion via plasma-membrane a...",162,8,1.06,27,0.00851,1.1e-05,0.0493827160493827
"59","BP","GO:2000310","regulation of NMDA receptor activity",22,2,0.14,141,0.00897,0.00897,0.0909090909090909
"60","BP","GO:1904375","regulation of protein localization to ce...",126,4,0.82,143,0.00937,0.00937,0.0317460317460317
"61","CC","GO:0099523","presynaptic cytosol",24,5,0.15,5,3.8e-07,3.8e-07,0.208333333333333
"62","CC","GO:0098978","glutamatergic synapse",489,14,3.14,8,2.9e-06,2.9e-06,0.0286298568507157
"63","CC","GO:0016342","catenin complex",23,4,0.15,11,1.3e-05,1.3e-05,0.173913043478261
"64","CC","GO:0098982","GABA-ergic synapse",100,6,0.64,18,4.4e-05,4.4e-05,0.06
"65","CC","GO:0043025","neuronal cell body",650,13,4.18,33,0.00026,0.00026,0.02
"66","CC","GO:0030425","dendrite",651,15,4.18,13,0.00041,1.7e-05,0.0230414746543779
"67","CC","GO:0044305","calyx of Held",29,3,0.19,44,0.00083,0.00083,0.103448275862069
"68","CC","GO:0008076","voltage-gated potassium channel complex",73,4,0.47,47,0.00125,0.00125,0.0547945205479452
"69","CC","GO:0005887","integral component of plasma membrane",1079,23,6.93,3,0.00155,2.6e-07,0.0213160333642261
"70","CC","GO:0031594","neuromuscular junction",87,4,0.56,51,0.00238,0.00238,0.0459770114942529
"71","CC","GO:0032590","dendrite membrane",42,3,0.27,52,0.00247,0.00247,0.0714285714285714
"72","CC","GO:0098686","hippocampal mossy fiber to CA3 synapse",47,3,0.3,54,0.0034,0.0034,0.0638297872340425
"73","CC","GO:0030424","axon",649,15,4.17,12,0.00379,1.6e-05,0.0231124807395994
"74","CC","GO:0005913","cell-cell adherens junction",99,4,0.64,56,0.00379,0.00379,0.0404040404040404
"75","CC","GO:0099056","integral component of presynaptic membra...",104,4,0.67,60,0.00452,0.00452,0.0384615384615385
"76","CC","GO:0098794","postsynapse",682,13,4.38,38,0.00503,0.00042,0.0190615835777126
"77","CC","GO:0009986","cell surface",698,11,4.49,61,0.00517,0.00517,0.0157593123209169
"78","CC","GO:0098685","Schaffer collateral - CA1 synapse",111,4,0.71,62,0.00569,0.00569,0.036036036036036
"79","CC","GO:0043235","receptor complex",347,7,2.23,65,0.00705,0.00705,0.0201729106628242
"80","CC","GO:0030673","axolemma",20,2,0.13,66,0.00721,0.00721,0.1
"81","CC","GO:0098831","presynaptic active zone cytoplasmic comp...",21,2,0.13,67,0.00793,0.00793,0.0952380952380952
"82","CC","GO:0098984","neuron to neuron synapse",396,11,2.54,20,0.00914,4.7e-05,0.0277777777777778
"83","CC","GO:0099061","integral component of postsynaptic densi...",69,3,0.44,68,0.00993,0.00993,0.0434782608695652
"84","CC","GO:0014069","postsynaptic density",369,9,2.37,41,0.01144,0.00062,0.024390243902439
"85","CC","GO:0032279","asymmetric synapse",372,9,2.39,42,0.01197,0.00065,0.0241935483870968
"86","CC","GO:0097060","synaptic membrane",467,12,3,19,0.01234,4.5e-05,0.0256959314775161
"87","CC","GO:0042734","presynaptic membrane",182,7,1.17,28,0.01265,0.00017,0.0384615384615385
