"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"31","BP","GO:0002691","regulation of cellular extravasation",21,1,0,1,0.0015,0.0015,0.0476190476190476
"32","BP","GO:0061099","negative regulation of protein tyrosine ...",22,1,0,2,0.0015,0.0015,0.0454545454545455
"33","BP","GO:0051894","positive regulation of focal adhesion as...",24,1,0,3,0.0017,0.0017,0.0416666666666667
"34","BP","GO:0042462","eye photoreceptor cell development",24,1,0,4,0.0017,0.0017,0.0416666666666667
"35","BP","GO:0051281","positive regulation of release of seques...",31,1,0,7,0.0021,0.0021,0.032258064516129
"36","BP","GO:0050856","regulation of T cell receptor signaling ...",32,1,0,8,0.0022,0.0022,0.03125
"37","BP","GO:0034113","heterotypic cell-cell adhesion",32,1,0,9,0.0022,0.0022,0.03125
"38","BP","GO:0070570","regulation of neuron projection regenera...",34,1,0,10,0.0023,0.0023,0.0294117647058824
"39","BP","GO:0003407","neural retina development",47,1,0,17,0.0032,0.0032,0.0212765957446809
"40","BP","GO:0060042","retina morphogenesis in camera-type eye",48,1,0,18,0.0033,0.0033,0.0208333333333333
"41","BP","GO:0043113","receptor clustering",60,1,0,24,0.0041,0.0041,0.0166666666666667
"42","BP","GO:0050771","negative regulation of axonogenesis",63,1,0,26,0.0044,0.0044,0.0158730158730159
"43","BP","GO:0007229","integrin-mediated signaling pathway",79,1,0.01,33,0.0055,0.0055,0.0126582278481013
"44","BP","GO:0002687","positive regulation of leukocyte migrati...",87,1,0.01,37,0.006,0.006,0.0114942528735632
"45","BP","GO:0050870","positive regulation of T cell activation",125,1,0.01,54,0.0086,0.0086,0.008
"46","BP","GO:0043547","positive regulation of GTPase activity",178,1,0.01,70,0.0123,0.0123,0.00561797752808989
"47","BP","GO:0046777","protein autophosphorylation",207,1,0.01,81,0.0143,0.0143,0.00483091787439614
"48","BP","GO:0030336","negative regulation of cell migration",214,1,0.01,86,0.0148,0.0148,0.00467289719626168
"49","BP","GO:2000146","negative regulation of cell motility",224,1,0.02,90,0.0155,0.0155,0.00446428571428571
"50","BP","GO:0043087","regulation of GTPase activity",250,1,0.02,100,0.0173,0.0173,0.004
"51","BP","GO:0051271","negative regulation of cellular componen...",256,1,0.02,101,0.0177,0.0177,0.00390625
"52","BP","GO:0040013","negative regulation of locomotion",269,1,0.02,104,0.0186,0.0186,0.00371747211895911
"53","BP","GO:0002683","negative regulation of immune system pro...",332,1,0.02,119,0.0229,0.0229,0.00301204819277108
"54","BP","GO:0071900","regulation of protein serine/threonine k...",350,1,0.02,124,0.0242,0.0242,0.00285714285714286
"55","BP","GO:0001525","angiogenesis",387,1,0.03,133,0.0267,0.0267,0.00258397932816537
"56","BP","GO:0051345","positive regulation of hydrolase activit...",413,1,0.03,137,0.0285,0.0285,0.00242130750605327
"57","BP","GO:0048514","blood vessel morphogenesis",467,1,0.03,150,0.0323,0.0323,0.00214132762312634
