"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"31","BP","GO:0001523","retinoid metabolic process",20,1,0,1,0.0015,0.0015,0.05
"32","BP","GO:0009112","nucleobase metabolic process",27,1,0,4,0.0021,0.0021,0.037037037037037
"33","BP","GO:0034308","primary alcohol metabolic process",35,1,0,5,0.0027,0.0027,0.0285714285714286
"34","BP","GO:0034754","cellular hormone metabolic process",46,1,0,7,0.0035,0.0035,0.0217391304347826
"35","BP","GO:0009914","hormone transport",247,1,0.02,10,0.019,0.019,0.00404858299595142
"36","BP","GO:0072521","purine-containing compound metabolic pro...",389,1,0.03,13,0.0299,0.0299,0.0025706940874036
"47","BP","GO:0042445","hormone metabolic process",112,1,0.01,8,1,0.0086,0.00892857142857143
"48","BP","GO:0006066","alcohol metabolic process",217,1,0.02,9,1,0.0167,0.00460829493087558
"55","BP","GO:0016101","diterpenoid metabolic process",22,1,0,2,1,0.0017,0.0454545454545455
"57","BP","GO:1901615","organic hydroxy compound metabolic proce...",316,1,0.02,11,1,0.0243,0.00316455696202532
"60","BP","GO:0006720","isoprenoid metabolic process",41,1,0,6,1,0.0032,0.024390243902439
