gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Microglia	Oligo
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.2356811319	0.058389996
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.2356811319	0.058389996
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.2356811319	0.058389996
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.2356811319	0.058389996
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.2972431035	0.2858933568
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	8.9245388523	3.1965338882
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.161857342	0.4439623571
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0335145337	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0918351571	0.0080167068
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.2972431035	0.2858933568
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	8.9245388523	3.1965338882
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.0267786785
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.2972431035	0.2858933568
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.2972431035	0.2858933568
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.161857342	0.4439623571
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.161857342	0.4439623571
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.0335145337	0.0
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.0295065285	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0170439051	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.3206539637	0.832004061
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.0	0.1124481881
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.0170439051	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.3206539637	0.832004061
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.0	0.1124481881
ROS1	P08922	False	ROS1_HUMAN		CPI-SS0DC322B61	0.049868601	0.0219835324
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.1386689715	0.0828398018
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.0170439051	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.3206539637	0.832004061
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	5.3038274197	16.9194660597
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.0170439051	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.3206539637	0.832004061
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	1.0723306676	0.0
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.0138464649	0.0
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0	0.1597323393
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.1130937839	0.1721799182
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.0469750036	0.0547835052
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.663649158	0.0433290597
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.3491811736	3.1888282783
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	1.7985005155	2.2452138399
GLRA2	P23416	False	GLRA2_HUMAN		CPI-SS02904BE32	0.0160313959	0.0
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.1290806658	0.0522263443
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.0544168067	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.0544168067	0.0
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.3034548394	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.0237894715	0.0
ADGRL1	O94910	False	AGRL1_HUMAN		CPI-SS09375CA29	0.3933972642	0.337421568
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.031904847	0.0169919736
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.0228052254	0.5819133875
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0F4D30D5A	0.0237894715	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.0237894715	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.0237894715	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.0237894715	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	0.1763976684	0.0476544168
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.0237894715	0.0
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.1874423721	0.0175344624
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.7883510739	0.0192522429
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0A19E9C34	0.0237894715	0.0
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS06BC4D123	0.0228052254	0.5819133875
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.0237894715	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	0.1763976684	0.0476544168
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.0237894715	0.0
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS03098AC28	0.7548318365	16.7862426196
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.404652842	0.0
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.1397445855	0.1173484549
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.0540119948	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	0.1763976684	0.0476544168
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.5292040026	0.0
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0ADA587B4	0.0	0.0257593609
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.059013057	0.0
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS074CF011C	0.7548318365	16.7862426196
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	4.1231485155	0.2414487992
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	1.1921296235	0.3996060443
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	4.1231485155	0.2414487992
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	1.1921296235	0.3996060443
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.7581192171	0.0130725106
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	4.1231485155	0.2414487992
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.7581192171	0.0130725106
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.3446760829	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	4.1231485155	0.2414487992
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	1.1921296235	0.3996060443
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	1.1921296235	0.3996060443
TNF	P01375	False	TNFA_HUMAN		CPI-SS03FA58286	0.0826754145	0.0
CCK	P06307	False	CCKN_HUMAN		CPI-SS00AD71822	3.8401525207	4.1965342808
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.6709816528	0.0345426048
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.3532536658	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.0376551295	0.0206243215
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	0.6709816528	0.0345426048
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.6361996451	1.020424181
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	0.6709816528	0.0345426048
CCL4	P13236	False	CCL4_HUMAN		CPI-SS008F83E02	0.6709816528	0.0345426048
CCL3	P10147	False	CCL3_HUMAN		CPI-SS076D8415B	0.3532536658	0.0
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	1.9604328497	0.0197639555
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	0.1823836732	0.1964907804
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	0.0519920156	0.1022584527
BDNF	P23560	False	BDNF_HUMAN		CPI-SS09A36B221	0.1823836732	0.1964907804
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.5231483627	0.2082756709
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	1.4117027537	1.0595033898
BDNF	P23560	False	BDNF_HUMAN		CPI-SS03F0B666C	0.1823836732	0.1964907804
CD200	P41217	False	OX2G_HUMAN		CPI-SS0A9E884E0	0.2346433083	0.1347136353
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.5759881286	0.17439962
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.0826754145	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	1.6781550725	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.0826754145	0.0
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.0	0.0190672325
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.0826754145	0.0
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.3885759067	0.0441267027
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.0826754145	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.0826754145	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.0826754145	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.0826754145	0.0
