gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Microglia	Oligo
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0310415367	0.0642170874
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0310415367	0.0642170874
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0310415367	0.0642170874
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.2707373813	0.2097568871
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	3.7827231208	3.3510022692
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.1006701044	0.6026441349
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0	0.0087361041
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.1185372472	0.0113186191
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.2707373813	0.2097568871
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	3.7827231208	3.3510022692
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.2707373813	0.2097568871
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.2707373813	0.2097568871
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.1006701044	0.6026441349
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.1006701044	0.6026441349
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.0	0.0087361041
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.076743026	0.0325922253
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	1.7655769091	0.0077965111
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.057946828	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.0849658687	0.9084252023
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.0468810066	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.0849658687	0.9084252023
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.0342294606	0.0898459438
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.0849658687	0.9084252023
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.0	0.0673622999
FGF5	P12034	False	FGF5_HUMAN		CPI-SS02FEAF02E	0.0468810066	0.0
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.0342294606	0.0898459438
ROS1	P08922	False	ROS1_HUMAN		CPI-SS0DC322B61	0.0	0.009487666
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.2365214677	0.111343004
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.0849658687	0.9084252023
FGF5	P12034	False	FGF5_HUMAN		CPI-SS076D8A297	0.0468810066	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	5.315174041	17.9682041223
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.076743026	0.0325922253
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.0849658687	0.9084252023
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	1.6608128053	0.0137122485
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.0670171605	0.0
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0	0.214115338
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.4681010777	0.0638200749
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.0	0.0609294168
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	1.1552660608	0.0215815889
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.4682036296	3.8286432188
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	1.6756071145	2.0778171218
GLRA2	P23416	False	GLRA2_HUMAN		CPI-SS02904BE32	0.0	0.0086890409
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.0413605982	0.0244153462
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.0385334181	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.0385334181	0.0
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.3647252839	0.0328739743
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.1092753957	0.0101201771
ADGRL1	O94910	False	AGRL1_HUMAN		CPI-SS09375CA29	0.3021243718	0.4942464046
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.0	0.0180654393
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.0	0.799134218
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0F4D30D5A	0.1092753957	0.0101201771
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.1092753957	0.0101201771
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.1092753957	0.0101201771
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.1092753957	0.0101201771
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	0.130936204	0.0611740273
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.1092753957	0.0101201771
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.1590441522	0.0145470415
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.8197023176	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0A19E9C34	0.1092753957	0.0101201771
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS06BC4D123	0.0	0.799134218
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.1092753957	0.0101201771
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	0.130936204	0.0611740273
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.2317581596	0.0
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.1392433839	0.1639920165
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.1300744472	0.0
