gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	1	3	5	6	8	29	34	37
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0798206813	0.1271111252	0.0	0.0941790808	0.3343011041	0.0	0.0	1.6886187099
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0798206813	0.1271111252	0.0	0.0941790808	0.3343011041	0.0	0.0	1.6886187099
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0798206813	0.1271111252	0.0	0.0941790808	0.3343011041	0.0	0.0	1.6886187099
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0798206813	0.1271111252	0.0	0.0941790808	0.3343011041	0.0	0.0	1.6886187099
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.2444554215	0.2333898745	0.2922423919	0.3820565198	0.3285712046	1.9561815336	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	3.3740967335	4.6614094365	3.1933106485	2.747252026	14.0515269942	6.9864425	6.3528432778	0.0
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.4466071497	0.0754762431	0.3476465774	0.5866728961	0.1053430058	0.0	1.6995218889	0.0
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0	0.0714729834	0.0	0.0	0.0	0.0	0.0	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0	0.1150114058	0.0	0.0409684952	0.0845740242	0.0	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.2444554215	0.2333898745	0.2922423919	0.3820565198	0.3285712046	1.9561815336	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	3.3740967335	4.6614094365	3.1933106485	2.747252026	14.0515269942	6.9864425	6.3528432778	0.0
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0534893909	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.2444554215	0.2333898745	0.2922423919	0.3820565198	0.3285712046	1.9561815336	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.2444554215	0.2333898745	0.2922423919	0.3820565198	0.3285712046	1.9561815336	0.0	0.0
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.4466071497	0.0754762431	0.3476465774	0.5866728961	0.1053430058	0.0	1.6995218889	0.0
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.4466071497	0.0754762431	0.3476465774	0.5866728961	0.1053430058	0.0	1.6995218889	0.0
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.0	0.0714729834	0.0	0.0	0.0	0.0	0.0	0.0
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.0	0.0	0.0	0.0	0.0658353757	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0	0.0	0.0	0.0	0.0380285975	0.0	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.7452721802	0.0965885083	0.9418305774	0.883457461	0.4587953873	0.0	1.4954615556	0.0
