"Label" "Information"
"1" "R version:" "R version 3.6.0 (2019-04-26)"
"2" "Platform:" "x86_64-redhat-linux-gnu (64-bit)"
"3" "Running under:" "CentOS Linux 7 (Core)"
"4" "Locale:" "LC_CTYPE=ko_KR.UTF-8"
"5" "Locale:" "LC_NUMERIC=C"
"6" "Locale:" "LC_TIME=ko_KR.UTF-8"
"7" "Locale:" "LC_COLLATE=ko_KR.UTF-8"
"8" "Locale:" "LC_MONETARY=ko_KR.UTF-8"
"9" "Locale:" "LC_MESSAGES=ko_KR.UTF-8"
"10" "Locale:" "LC_PAPER=ko_KR.UTF-8"
"11" "Locale:" "LC_NAME=C"
"12" "Locale:" "LC_ADDRESS=C"
"13" "Locale:" "LC_TELEPHONE=C"
"14" "Locale:" "LC_MEASUREMENT=ko_KR.UTF-8"
"15" "Locale:" "LC_IDENTIFICATION=C"
"16" "Matrix:" "Matrix products: default
"
"17" "Attached base packages:" "grid"
"18" "Attached base packages:" "stats"
"19" "Attached base packages:" "graphics"
"20" "Attached base packages:" "grDevices"
"21" "Attached base packages:" "utils"
"22" "Attached base packages:" "datasets"
"23" "Attached base packages:" "methods"
"24" "Attached base packages:" "base"
"25" "Other attached packages:" "Hmisc_4.3-1"
"26" "Other attached packages:" "Formula_1.2-3"
"27" "Other attached packages:" "survival_3.1-11"
"28" "Other attached packages:" "lattice_0.20-40"
"29" "Other attached packages:" "ggcorrplot_0.1.3"
"30" "Other attached packages:" "tidyr_1.0.2"
"31" "Other attached packages:" "viridis_0.5.1"
"32" "Other attached packages:" "viridisLite_0.3.0"
"33" "Other attached packages:" "gridExtra_2.3"
"34" "Other attached packages:" "dplyr_0.8.5"
"35" "Other attached packages:" "ggplot2_3.3.0"
"36" "Other attached packages:" "Seurat_3.1.2"
"37" "Loaded via a namespace (and not attached):" "TH.data_1.0-10"
"38" "Loaded via a namespace (and not attached):" "Rtsne_0.15"
"39" "Loaded via a namespace (and not attached):" "colorspace_1.4-1"
"40" "Loaded via a namespace (and not attached):" "ggridges_0.5.2"
"41" "Loaded via a namespace (and not attached):" "htmlTable_1.13.3"
"42" "Loaded via a namespace (and not attached):" "base64enc_0.1-3"
"43" "Loaded via a namespace (and not attached):" "rstudioapi_0.11"
"44" "Loaded via a namespace (and not attached):" "farver_2.0.3"
"45" "Loaded via a namespace (and not attached):" "leiden_0.3.3"
"46" "Loaded via a namespace (and not attached):" "listenv_0.8.0"
"47" "Loaded via a namespace (and not attached):" "npsurv_0.4-0"
"48" "Loaded via a namespace (and not attached):" "ggrepel_0.8.2"
"49" "Loaded via a namespace (and not attached):" "mvtnorm_1.1-0"
"50" "Loaded via a namespace (and not attached):" "codetools_0.2-16"
"51" "Loaded via a namespace (and not attached):" "splines_3.6.0"
"52" "Loaded via a namespace (and not attached):" "R.methodsS3_1.8.0"
"53" "Loaded via a namespace (and not attached):" "mnormt_1.5-6"
"54" "Loaded via a namespace (and not attached):" "lsei_1.2-0"
"55" "Loaded via a namespace (and not attached):" "knitr_1.28"
"56" "Loaded via a namespace (and not attached):" "TFisher_0.2.0"
"57" "Loaded via a namespace (and not attached):" "jsonlite_1.6.1"
"58" "Loaded via a namespace (and not attached):" "ica_1.0-2"
"59" "Loaded via a namespace (and not attached):" "cluster_2.1.0"
"60" "Loaded via a namespace (and not attached):" "png_0.1-7"
"61" "Loaded via a namespace (and not attached):" "R.oo_1.23.0"
"62" "Loaded via a namespace (and not attached):" "uwot_0.1.5"
"63" "Loaded via a namespace (and not attached):" "sctransform_0.2.1"
"64" "Loaded via a namespace (and not attached):" "compiler_3.6.0"
"65" "Loaded via a namespace (and not attached):" "httr_1.4.1"
"66" "Loaded via a namespace (and not attached):" "backports_1.1.5"
"67" "Loaded via a namespace (and not attached):" "assertthat_0.2.1"
"68" "Loaded via a namespace (and not attached):" "Matrix_1.2-18"
"69" "Loaded via a namespace (and not attached):" "lazyeval_0.2.2"
"70" "Loaded via a namespace (and not attached):" "acepack_1.4.1"
"71" "Loaded via a namespace (and not attached):" "htmltools_0.4.0"
"72" "Loaded via a namespace (and not attached):" "tools_3.6.0"
"73" "Loaded via a namespace (and not attached):" "rsvd_1.0.3"
"74" "Loaded via a namespace (and not attached):" "igraph_1.2.4.2"
"75" "Loaded via a namespace (and not attached):" "gtable_0.3.0"
"76" "Loaded via a namespace (and not attached):" "glue_1.3.1"
"77" "Loaded via a namespace (and not attached):" "RANN_2.6.1"
"78" "Loaded via a namespace (and not attached):" "reshape2_1.4.3"
"79" "Loaded via a namespace (and not attached):" "rappdirs_0.3.1"
"80" "Loaded via a namespace (and not attached):" "Rcpp_1.0.3"
"81" "Loaded via a namespace (and not attached):" "Biobase_2.44.0"
"82" "Loaded via a namespace (and not attached):" "vctrs_0.2.4"
"83" "Loaded via a namespace (and not attached):" "multtest_2.40.0"
"84" "Loaded via a namespace (and not attached):" "gdata_2.18.0"
