"Label" "Information"
"1" "R version:" "R version 3.6.0 (2019-04-26)"
"2" "Platform:" "x86_64-redhat-linux-gnu (64-bit)"
"3" "Running under:" "CentOS Linux 7 (Core)"
"4" "Locale:" "LC_CTYPE=ko_KR.UTF-8"
"5" "Locale:" "LC_NUMERIC=C"
"6" "Locale:" "LC_TIME=ko_KR.UTF-8"
"7" "Locale:" "LC_COLLATE=ko_KR.UTF-8"
"8" "Locale:" "LC_MONETARY=ko_KR.UTF-8"
"9" "Locale:" "LC_MESSAGES=ko_KR.UTF-8"
"10" "Locale:" "LC_PAPER=ko_KR.UTF-8"
"11" "Locale:" "LC_NAME=C"
"12" "Locale:" "LC_ADDRESS=C"
"13" "Locale:" "LC_TELEPHONE=C"
"14" "Locale:" "LC_MEASUREMENT=ko_KR.UTF-8"
"15" "Locale:" "LC_IDENTIFICATION=C"
"16" "Matrix:" "Matrix products: default
"
"17" "Attached base packages:" "stats"
"18" "Attached base packages:" "graphics"
"19" "Attached base packages:" "grDevices"
"20" "Attached base packages:" "utils"
"21" "Attached base packages:" "datasets"
"22" "Attached base packages:" "methods"
"23" "Attached base packages:" "base"
"24" "Other attached packages:" "gridExtra_2.3"
"25" "Other attached packages:" "forcats_0.5.0"
"26" "Other attached packages:" "stringr_1.4.0"
"27" "Other attached packages:" "purrr_0.3.4"
"28" "Other attached packages:" "readr_1.4.0"
"29" "Other attached packages:" "tidyr_1.1.2"
"30" "Other attached packages:" "tibble_3.0.3"
"31" "Other attached packages:" "tidyverse_1.3.0"
"32" "Other attached packages:" "dplyr_1.0.2"
"33" "Other attached packages:" "ggplot2_3.3.2"
"34" "Other attached packages:" "Seurat_3.2.2"
"35" "Loaded via a namespace (and not attached):" "Rtsne_0.15"
"36" "Loaded via a namespace (and not attached):" "colorspace_1.4-1"
"37" "Loaded via a namespace (and not attached):" "deldir_0.1-29"
"38" "Loaded via a namespace (and not attached):" "ellipsis_0.3.1"
"39" "Loaded via a namespace (and not attached):" "ggridges_0.5.2"
"40" "Loaded via a namespace (and not attached):" "fs_1.5.0"
"41" "Loaded via a namespace (and not attached):" "rstudioapi_0.11"
"42" "Loaded via a namespace (and not attached):" "spatstat.data_1.4-3"
"43" "Loaded via a namespace (and not attached):" "farver_2.0.3"
"44" "Loaded via a namespace (and not attached):" "leiden_0.3.3"
"45" "Loaded via a namespace (and not attached):" "listenv_0.8.0"
"46" "Loaded via a namespace (and not attached):" "ggrepel_0.8.2"
"47" "Loaded via a namespace (and not attached):" "fansi_0.4.1"
"48" "Loaded via a namespace (and not attached):" "lubridate_1.7.9"
"49" "Loaded via a namespace (and not attached):" "xml2_1.3.2"
"50" "Loaded via a namespace (and not attached):" "codetools_0.2-16"
"51" "Loaded via a namespace (and not attached):" "splines_3.6.0"
"52" "Loaded via a namespace (and not attached):" "polyclip_1.10-0"
"53" "Loaded via a namespace (and not attached):" "jsonlite_1.7.1"
"54" "Loaded via a namespace (and not attached):" "broom_0.7.1"
"55" "Loaded via a namespace (and not attached):" "ica_1.0-2"
"56" "Loaded via a namespace (and not attached):" "cluster_2.1.0"
"57" "Loaded via a namespace (and not attached):" "dbplyr_1.4.4"
"58" "Loaded via a namespace (and not attached):" "png_0.1-7"
"59" "Loaded via a namespace (and not attached):" "uwot_0.1.8"
"60" "Loaded via a namespace (and not attached):" "shiny_1.5.0"
"61" "Loaded via a namespace (and not attached):" "sctransform_0.3.1"
"62" "Loaded via a namespace (and not attached):" "compiler_3.6.0"
"63" "Loaded via a namespace (and not attached):" "httr_1.4.2"
"64" "Loaded via a namespace (and not attached):" "backports_1.1.10"
"65" "Loaded via a namespace (and not attached):" "assertthat_0.2.1"
"66" "Loaded via a namespace (and not attached):" "Matrix_1.2-18"
"67" "Loaded via a namespace (and not attached):" "fastmap_1.0.1"
"68" "Loaded via a namespace (and not attached):" "lazyeval_0.2.2"
"69" "Loaded via a namespace (and not attached):" "cli_2.0.2"
"70" "Loaded via a namespace (and not attached):" "later_1.1.0.1"
"71" "Loaded via a namespace (and not attached):" "htmltools_0.5.0"
"72" "Loaded via a namespace (and not attached):" "tools_3.6.0"
"73" "Loaded via a namespace (and not attached):" "rsvd_1.0.3"
"74" "Loaded via a namespace (and not attached):" "igraph_1.2.6"
"75" "Loaded via a namespace (and not attached):" "gtable_0.3.0"
"76" "Loaded via a namespace (and not attached):" "glue_1.4.2"
"77" "Loaded via a namespace (and not attached):" "RANN_2.6.1"
"78" "Loaded via a namespace (and not attached):" "reshape2_1.4.4"
"79" "Loaded via a namespace (and not attached):" "rappdirs_0.3.1"
"80" "Loaded via a namespace (and not attached):" "Rcpp_1.0.5"
"81" "Loaded via a namespace (and not attached):" "spatstat_1.64-1"
"82" "Loaded via a namespace (and not attached):" "cellranger_1.1.0"
"83" "Loaded via a namespace (and not attached):" "vctrs_0.3.4"
"84" "Loaded via a namespace (and not attached):" "nlme_3.1-139"
