"","category","GO.ID","Term","Annotated","Significant","Expected","Rank.in.Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes","cell_type","exp"
"113","BP","GO:0048523","negative regulation of cellular process",4363,8,3.56,26,0.01259,0.01259,0.00183360073344029,"Slc8a1, Spock1, Otud7a, Kcnab1, Sox10, Gli2, Ptprk, Sgk3","MOL","APPPS1 UP"
"178","BP","GO:0043069","negative regulation of programmed cell death",873,3,0.71,97,0.0317,0.0317,0.00343642611683849,"Sox10, Gli2, Sgk3","MOL","APPPS1 UP"
"41","MF","GO:0051015","actin filament binding",197,2,0.19,4,0.016,0.016,0.0101522842639594,"Shtn1, Gas7","MOL","APPPS1.Il12b-/- UP"
"1031","BP","GO:0000902","cell morphogenesis",1056,4,1.03,3,0.017,0.017,0.00378787878787879,"Shtn1, Dcc, Gas7, Cdh20","MOL","APPPS1.Il12b-/- UP"
"1131","BP","GO:0008285","negative regulation of cell proliferation",646,3,0.63,13,0.024,0.024,0.00464396284829721,"St18, Pttg1, Fth1","MOL","APPPS1.Il12b-/- UP"
"1032","BP","GO:0034599","cellular response to oxidative stress",259,3,0.31,5,0.0035,0.0035,0.0115830115830116,"Slc8a1, Ptprk, Oxr1","MFOL","APPPS1 UP"
"1051","BP","GO:0016311","dephosphorylation",355,3,0.43,8,0.0084,0.0084,0.00845070422535211,"Pcdh11x, Ptprk, Eya4","MFOL","APPPS1 UP"
"1132","BP","GO:0012501","programmed cell death",1804,6,2.16,19,0.0167,0.0167,0.00332594235033259,"Elmo1, Oxr1, Hif3a, Gli2, Eya4, Cst3","MFOL","APPPS1 UP"
"1171","BP","GO:0048523","negative regulation of cellular process",4363,10,5.22,23,0.0208,0.0208,0.00229200091680037,"Otud7a, Spock1, Slc8a1, Ptgds, Pcdh11x, Ptprk, Oxr1, Gli2, Eya4, Cst3","MFOL","APPPS1 UP"
"1441","BP","GO:0060548","negative regulation of cell death",983,4,1.18,52,0.0275,0.0275,0.00406917599186165,"Oxr1, Gli2, Eya4, Cst3","MFOL","APPPS1 UP"
"156","MF","GO:0051015","actin filament binding",197,3,0.21,1,0.0012,0.0012,0.0152284263959391,"Shtn1, Gas7, Syne1","MFOL","APPPS1.Il12b-/- UP"
"1033","BP","GO:0099536","synaptic signaling",712,4,0.74,13,0.00544,0.00544,0.00561797752808989,"Anks1b, Ephb1, Dcc, Syne1","MFOL","APPPS1.Il12b-/- UP"
"1072","BP","GO:0000902","cell morphogenesis",1056,6,1.09,5,0.01297,5e-04,0.00568181818181818,"Shtn1, Cdh20, Gas7, Ephb1, Dcc, Syne1","MFOL","APPPS1.Il12b-/- UP"
"159","BP","GO:0070372","regulation of ERK1 and ERK2 cascade",292,2,0.3,76,0.03602,0.03602,0.00684931506849315,"Ephb1, Dcc","MFOL","APPPS1.Il12b-/- UP"
"1073","BP","GO:0045665","negative regulation of neuron differentiation",247,3,0.28,54,0.00267,0.00267,0.0121457489878543,"Sema5a, Cntn4, Olig2","OPC","APPPS1 UP"
"1123","BP","GO:0021700","developmental maturation",296,3,0.34,69,0.00444,0.00444,0.0101351351351351,"Plcb1, Kcnma1, Sez6l","OPC","APPPS1 UP"
"1271","BP","GO:0042552","myelination",141,2,0.16,123,0.01116,0.01116,0.0141843971631206,"Clu, Olig2","OPC","APPPS1 UP"
"151","BP","GO:0043067","regulation of programmed cell death",1451,5,1.66,177,0.02134,0.02134,0.00344589937973811,"Il12b, Kcnma1, Sema5a, Clu, Sycp2","OPC","APPPS1 UP"
"1322","BP","GO:0016049","cell growth",483,2,0.26,39,0.027,0.027,0.0041407867494824,"Tmem108, Pttg1","OPC","APPPS1.Il12b-/- UP"
"165","BP","GO:0008285","negative regulation of cell proliferation",646,2,0.35,72,0.0461,0.0461,0.00309597523219814,"Pttg1, St18","OPC","APPPS1.Il12b-/- UP"
